"AuthorID"," CitationsAll"," CitationsS2014"," hIndexAll"," hIndexS2014"," i10IndexAll"," i10IndexS2014"," CoAuthorIDs"," CoAuthorNames","Description","DescriptionURLs"
yWdvb8YAAAAJ, 196672, 73734, 189, 128, 441, 377, , , Professor of chemistry,  | stanford university | Verified email at stanford.edu | chemistry | materials science | physics | nanotechnology, /citations?view_op=view_org&hl=en&oe=ASCII&org=8539678734835078480 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:chemistry | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:materials_science | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:physics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:nanotechnology
GExyiRkAAAAJ, 165303, 76444, 113, 73, 379, 253, , , Professor of Electrical Engineering, Computer Science, and Management Science,  | Stanford | Verified email at stanford.edu -  | Homepage | Optimization | Control | Signal Processing | Artificial Intelligence | Finance, /citations?view_op=view_org&hl=en&oe=ASCII&org=8539678734835078480 | http://stanford.edu/~boyd/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:optimization | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:control | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:signal_processing | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:artificial_intelligence | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:finance
lNmR2vAAAAAJ, 163029, 105252, 189, 172, 599, 567, , , Stanford University | Verified email at stanford.edu -  | Homepage | nanotechnology | energy | environment | 2D materials | nanobio, /citations?view_op=view_org&hl=en&oe=ASCII&org=8539678734835078480 | http://www.stanford.edu/group/cui_group/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:nanotechnology | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:energy | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:environment | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:2d_materials | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:nanobio
tQVe-fAAAAAJ, 222028, 104839, 132, 94, 348, 256, , , Professor of Statistics,  | Stanford University | Verified email at stanford.edu -  | Homepage | Statistical learning and modeling | data mining | machine learning, /citations?view_op=view_org&hl=en&oe=ASCII&org=8539678734835078480 | http://www.stanford.edu/~hastie | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:statistical_learning_and_modeling | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:data_mining | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:machine_learning
OlKVqZ8AAAAJ, 165216, 49176, 64, 42, 106, 76, , , Department of Sociology,  | Stanford University | Verified email at stanford.edu, /citations?view_op=view_org&hl=en&oe=ASCII&org=8539678734835078480
ZpG_cJwAAAAJ, 322991, 133794, 150, 97, 442, 346, , , Professor of Biomedical Data Sciences, and  of  Statistics,  | Stanford University | Verified email at stanford.edu -  | Homepage | Statistics | Applied Statistics | Statistical learning | machine learning | data science, /citations?view_op=view_org&hl=en&oe=ASCII&org=8539678734835078480 | https://statweb.stanford.edu/~tibs/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:statistics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:applied_statistics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:statistical_learning | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:machine_learning | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:data_science
D7CrQZkAAAAJ, 214867, 81092, 102, 72, 196, 145, , , Consulting Professor,  | Stanford University | Verified email at stanford.edu | obesity | growth | misclassification | body weight, /citations?view_op=view_org&hl=en&oe=ASCII&org=8539678734835078480 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:obesity | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:growth | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:misclassification | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:body_weight
JiiMY_wAAAAJ, 250275, 166509, 193, 132, 928, 771, , , Professor of Medicine/Health Research & Policy/Biomedical Data Science/Statistics,  | Stanford Univ | Verified email at stanford.edu -  | Homepage | meta-research | clinical epidemiology | evidence-based medicine | research methods | meta-analysis, /citations?view_op=view_org&hl=en&oe=ASCII&org=8539678734835078480 | https://med.stanford.edu/profiles/john-ioannidis | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:meta_research | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:clinical_epidemiology | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:evidence_based_medicine | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:research_methods | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:meta_analysis
82EU9NcAAAAJ, 166587, 95605, 183, 135, 904, 770, , , Postdoc Scholar,  | Stanford University | Verified email at stanford.edu | High Energy Physics | Particle Physics | Dark Matter Detection, /citations?view_op=view_org&hl=en&oe=ASCII&org=8539678734835078480 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:high_energy_physics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:particle_physics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:dark_matter_detection
rzsW90EAAAAJ, 142570, 43111, 156, 84, 579, 269, , , Professor of Biology Emeritus,   | Stanford University | Verified email at stanford.edu | environmental biology, /citations?view_op=view_org&hl=en&oe=ASCII&org=8539678734835078480 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:environmental_biology
