"AuthorID"," CitationsAll"," CitationsS2014"," hIndexAll"," hIndexS2014"," i10IndexAll"," i10IndexS2014"," CoAuthorIDs"," CoAuthorNames","Description","DescriptionURLs"
U-hpAbcAAAAJ, 60031, 31328, 107, 77, 1043, 677, , , Professor, School of Materials Science & Engineering,  | Tsinghua University, Beijing | , China | Verified email at mail.tsinghua.edu.cn | NanoMaterial and NanoStructure | Interface and Surface in Materials | Electron Microscopy in Material Science, /citations?view_op=view_org&hl=en&oe=ASCII&org=15442380624744264287 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:nanomaterial_and_nanostructure | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:interface_and_surface_in_materials | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:electron_microscopy_in_material_science
BcfhJ-4AAAAJ, 45589, 25803, 107, 75, 336, 264, , , Tsinghua University | Verified email at mail.tsinghua.edu.cn | chemistry, /citations?view_op=view_org&hl=en&oe=ASCII&org=15442380624744264287 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:chemistry
qG7UQVcAAAAJ, 46896, 22912, 85, 59, 516, 383, , , Tsinghua University | Verified email at mail.tsinghua.edu.cn | Synthetic Biology, /citations?view_op=view_org&hl=en&oe=ASCII&org=15442380624744264287 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:synthetic_biology
zHnFlEsAAAAJ, 56172, 28689, 98, 65, 1011, 664, , , School of Life Sciences,  | Tsinghua University |  （清华大学生命科学学院） | Verified email at mail.tsinghua.edu.cn | Microbiology and Biomaterials, /citations?view_op=view_org&hl=en&oe=ASCII&org=15442380624744264287 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:microbiology_and_biomaterials
4LV7HnAAAAAJ, 45915, 28536, 96, 76, 623, 551, , , Tsinghua University | Verified email at mail.tsinghua.edu.cn | Fluid mechanics | Computational fluid dynamics, /citations?view_op=view_org&hl=en&oe=ASCII&org=15442380624744264287 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:fluid_mechanics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computational_fluid_dynamics
XnuKb_ujs1MC, 82696, 58692, 111, 96, 632, 548, , , Chemistry department,  | Tsinghua university | Verified email at tsinghua.edu.cn -  | Homepage | Chemistry | ESR/EPR | NMR | Organic Reaction Mechanism, /citations?view_op=view_org&hl=en&oe=ASCII&org=15442380624744264287 | http://166.111.28.138/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:chemistry | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:esr_epr | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:nmr | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:organic_reaction_mechanism
zNGYoA8AAAAJ, 63478, 36596, 97, 70, 1582, 1058, , , Tsinghua university | Verified email at mails.tsinghua.edu.cn | Internet of things | Bitcoin, /citations?view_op=view_org&hl=en&oe=ASCII&org=15442380624744264287 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:internet_of_things | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:bitcoin
2nZjnKoAAAAJ, 74650, 60800, 144, 118, 315, 287, , , Physics Department,  | Tsinghua University | Verified email at mail.tsinghua.edu.cn | supernova | time-domain astronomy | AGN, /citations?view_op=view_org&hl=en&oe=ASCII&org=15442380624744264287 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:supernova | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:time_domain_astronomy | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:agn
LTl05m0AAAAJ, 61674, 38973, 95, 71, 172, 142, , , Tsinghua University | , Fermilab, CMS Collaboration | Verified email at tsinghua.edu.cn -  | Homepage | High Energy Physics Experiment | High Energy Physics | Particle Physics, /citations?view_op=view_org&hl=en&oe=ASCII&org=15442380624744264287 | http://inspirehep.net/author/profile/Zhen.Hu.1 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:high_energy_physics_experiment | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:high_energy_physics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:particle_physics
aedLOyoAAAAJ, 45210, 15655, 105, 66, 189, 171, , , Princeton University,  | Tsinghua University | , Westlake University | Verified email at tsinghua.edu.cn -  | Homepage | apoptosis | pre-mRNA splicing | gamma-secretase | regulated intramembrane proteolysis | Alzheimer's disease, /citations?view_op=view_org&hl=en&oe=ASCII&org=15442380624744264287 | https://ygshi.org/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:apoptosis | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:pre_mrna_splicing | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:gamma_secretase | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:regulated_intramembrane_proteolysis | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:alzheimer%27s_disease
