"AuthorID","CitationsAll","CitationsS2014","hIndexAll","hIndexS2014","i10IndexAll","i10IndexS2014","CoAuthorIDs","CoAuthorNames","Description","DescriptionURLs"
RyUTIccAAAAJ, 45020, 19559, 101, 67, 418, 308, , , Distinguished University Professor,  | Nanyang Technological University | Verified email at ntu.edu.sg -  | Homepage | Solid mechanics | nanomechanics | biomechanics, /citations?view_op=view_org&hl=en&oe=ASCII&org=3012140508424117850 | https://www.brown.edu/research/projects/nanomechanics-engineering-biological-systems/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:solid_mechanics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:nanomechanics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:biomechanics
LhSqQCIAAAAJ, 40044, 29223, 65, 58, 142, 121, , , Full Professor,  | Nanyang Technological University, Singapore | Verified email at ntu.edu.sg -  | Homepage | Machine Learning | Neural Networks | Neuroscience, /citations?view_op=view_org&hl=en&oe=ASCII&org=3012140508424117850 | http://www.extreme-learning-machines.org/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:machine_learning | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:neural_networks | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:neuroscience
yZNzBU0AAAAJ, 39665, 24411, 84, 67, 278, 216, , , EEE,  | NTU | Verified email at ntu.edu.sg -  | Homepage | Machine Learning(ML) | Swarm-Evolutionary Computation(SEC) | Neural Networks(ANN) | Applications of ML SEC ANN., /citations?view_op=view_org&hl=en&oe=ASCII&org=3012140508424117850 | http://www3.ntu.edu.sg/home/epnsugan/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:machine_learning_ml | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:swarm_evolutionary_computation_sec | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:neural_networks_ann | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:applications_of_ml_sec_ann
6N1nl6MAAAAJ, 50478, 13866, 104, 57, 227, 178, , , Earth Observatory of Singapore | Verified email at ntu.edu.sg, 
BMkV-YoAAAAJ, 79762, 58304, 94, 57, 393, 255, , , Lee Kong Chian School of Medicine,  | Nanyang Technological University | Verified email at ntu.edu.sg | Diabetes, /citations?view_op=view_org&hl=en&oe=ASCII&org=3012140508424117850 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:diabetes
udR2CyAAAAAJ, 77940, 60140, 169, 146, 312, 310, , , Professor,  | Nanyang Technological University | Verified email at ntu.edu.sg -  | Homepage | hollow structures | batteries | electrocatalysis | supercapacitors | photocatalysis, /citations?view_op=view_org&hl=en&oe=ASCII&org=3012140508424117850 | http://www.ntu.edu.sg/home/xwlou/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:hollow_structures | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:batteries | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:electrocatalysis | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:supercapacitors | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:photocatalysis
NEdtXTAAAAAJ, 41950, 27050, 83, 64, 910, 653, , , RSIS,  | NTU | Verified email at ntu.edu.sg, /citations?view_op=view_org&hl=en&oe=ASCII&org=3012140508424117850
ycwS45YAAAAJ, 96986, 58550, 107, 83, 1117, 808, , , Nanyang Technological University | Verified email at ntu.edu.sg, /citations?view_op=view_org&hl=en&oe=ASCII&org=3012140508424117850
36r-WAEAAAAJ, 71732, 33583, 113, 79, 1062, 661, , , Professor, School of Mechanical and Aerospace Engineering,  | Nanyang Technological University | Verified email at ntu.edu.sg -  | Homepage | Materials | Thin Films | Coatings, /citations?view_op=view_org&hl=en&oe=ASCII&org=3012140508424117850 | http://www.ntu.edu.sg/home/msyzhang | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:materials | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:thin_films | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:coatings
Fmrv3J8AAAAJ, 33915, 16035, 88, 61, 427, 283, , , Professor of Electrical Engineering,  | Nanyang Technological University | Verified email at ntu.edu.sg -  | Homepage | Robust control | Networked Control | Mult-agent Systems, /citations?view_op=view_org&hl=en&oe=ASCII&org=3012140508424117850 | http://www.ntu.edu.sg/home/elhxie | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:robust_control | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:networked_control | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:mult_agent_systems
