"AuthorID","CitationsAll","CitationsS2014","hIndexAll","hIndexS2014","i10IndexAll","i10IndexS2014","CoAuthorIDs","CoAuthorNames","Description","DescriptionURLs"
krIBxQgAAAAJ, 59109, 42519, 46, 36, 84, 65, , , Lecturer and Senior Scientist,  | ETH Zurich | Verified email at stat.math.ethz.ch -  | Homepage | Statistical Computing | Robustness | Matrix computation | Copulas | stable distributions, /citations?view_op=view_org&hl=en&oe=ASCII&org=4424634556969671199 | http://stat.ethz.ch/people/maechler | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:statistical_computing | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:robustness | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:matrix_computation | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:copulas | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:stable_distributions
VhyE-qsAAAAJ, 156308, 50032, 189, 120, 748, 520, , , ETH Zurich | Verified email at imsb.biol.ethz.ch | proteomics | mass spectrometry, /citations?view_op=view_org&hl=en&oe=ASCII&org=4424634556969671199 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:proteomics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:mass_spectrometry
TwMib_QAAAAJ, 114744, 59202, 134, 93, 701, 472, , , professor computer vision  | ETH Zurich |  & KU Leuven,  Head Toyota Lab TRACE @ KUL & ETH | Verified email at ethz.ch | computer vision | machine learning | AI | autonomous cars | cultural heritage, /citations?view_op=view_org&hl=en&oe=ASCII&org=4424634556969671199 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computer_vision | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:machine_learning | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:ai | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:autonomous_cars | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:cultural_heritage
YtTQLjEAAAAJ, 69601, 13244, 134, 61, 263, 191, , , Emeritus Professor of Biochemistry,  | ETH Zurich | Verified email at bc.biol.ethz.ch | Cell Biology | Virology | Biochemistry, /citations?view_op=view_org&hl=en&oe=ASCII&org=4424634556969671199 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:cell_biology | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:virology | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:biochemistry
ebrNfPAAAAAJ, 54194, 24648, 101, 65, 297, 225, , , Computational Social Science,  | ETH Zurich | , Delft University of Technology | Verified email at ethz.ch -  | Homepage | Complex systems | pedestrians and crowds | traffic and logistics | risk reduction | digital society, /citations?view_op=view_org&hl=en&oe=ASCII&org=4424634556969671199 | http://www.coss.ethz.ch/people/helbing.html | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:complex_systems | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:pedestrians_and_crowds | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:traffic_and_logistics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:risk_reduction | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:digital_society
n-Oret4AAAAJ, 62794, 19185, 95, 64, 216, 183, , , Professor of Computer Science at  | ETH Zürich | , Adjunct Professor of ECE at CMU, Cylab Fellow | Verified email at inf.ethz.ch -  | Homepage | Security | Networking | Internet Security | IoT | Computer Security, /citations?view_op=view_org&hl=en&oe=ASCII&org=4424634556969671199 | http://www.netsec.ethz.ch/people/aperrig/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:security | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:networking | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:internet_security | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:iot | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computer_security
OaAKHewAAAAJ, 54988, 21247, 81, 52, 351, 205, , , Professor of Computer Engineering,  | ETH Zurich | Verified email at ethz.ch -  | Homepage | embedded systems | embedded software | cyberphysical systems | IoT | evolutionary algorithms, /citations?view_op=view_org&hl=en&oe=ASCII&org=4424634556969671199 | http://www.tik.ee.ethz.ch/~thiele/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:embedded_systems | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:embedded_software | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:cyberphysical_systems | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:iot | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:evolutionary_algorithms
sp5S5TMAAAAJ, 60202, 32295, 72, 59, 161, 140, , , Professor for Climate Physics,  | ETH Zurich | Verified email at env.ethz.ch -  | Homepage | Climate change, /citations?view_op=view_org&hl=en&oe=ASCII&org=4424634556969671199 | http://www.iac.ethz.ch/people/knuttir | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:climate_change
4I2CNNoAAAAJ, 50048, 12047, 105, 47, 744, 327, , , Professor emeritus  | ETH Zurich | Verified email at chem.ethz.ch | Heterogeneous Catalysis | Surface science | Chemical reaction engineering, /citations?view_op=view_org&hl=en&oe=ASCII&org=4424634556969671199 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:heterogeneous_catalysis | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:surface_science | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:chemical_reaction_engineering
WIo5s8gAAAAJ, 46003, 25250, 101, 80, 288, 262, , , professor of agroecology,  | ETH-Zurich | Verified email at ethz.ch | sustainable agriculture, /citations?view_op=view_org&hl=en&oe=ASCII&org=4424634556969671199 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:sustainable_agriculture
MDIyLnwAAAAJ, 48623, 28342, 100, 75, 564, 414, , , Professor of Robotics,  | ETH Zurich | , Switzerland | Verified email at ethz.ch -  | Homepage | Robotics | SLAM | Artificial Intelligence | Robot Vision | Micro Air Vehicles, /citations?view_op=view_org&hl=en&oe=ASCII&org=4424634556969671199 | http://www.asl.ethz.ch/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:robotics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:slam | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:artificial_intelligence | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:robot_vision | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:micro_air_vehicles
HGsSmMAAAAAJ, 42130, 13712, 101, 52, 519, 309, , , ETH Zurich | Verified email at ethz.ch -  | Homepage | Cooperation | organization | patterns | prediction, /citations?view_op=view_org&hl=en&oe=ASCII&org=4424634556969671199 | http://www.er.ethz.ch/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:cooperation | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:organization | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:patterns | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:prediction
2xvw-TYAAAAJ, 45385, 6016, 103, 39, 272, 104, , , ETH Zurich |  & Brookhaven National Lab. | Verified email at phys.ethz.ch | Theoretical Condensed Matter Physics, /citations?view_op=view_org&hl=en&oe=ASCII&org=4424634556969671199 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:theoretical_condensed_matter_physics
