"AuthorID"," CitationsAll"," CitationsS2014"," hIndexAll"," hIndexS2014"," i10IndexAll"," i10IndexS2014"," CoAuthorIDs"," CoAuthorNames","Description","DescriptionURLs"
WJPjaDgAAAAJ, 24169, 7710, 62, 38, 198, 99, , , Professor of Electrical Engineering,  | EURECOM | Verified email at eurecom.fr -  | Homepage | Communications | signal processing | information theory | machine learning | Unmanned Aerial Vehicles, /citations?view_op=view_org&hl=en&oe=ASCII&org=7868974552293588111 | http://www.eurecom.fr/cm/gesbert | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:communications | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:signal_processing | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:information_theory | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:machine_learning | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:unmanned_aerial_vehicles
YMfR1SIAAAAJ, 11374, 1814, 54, 22, 136, 50, , , Unknown affiliation | Verified email at eurecom.fr -  | Homepage | Networking, http://e-biersack.eu/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:networking
jE-78dsAAAAJ, 7294, 2285, 32, 22, 97, 51, , , Professor in Communication Systems,  | EURECOM | Verified email at eurecom.fr | Electrical Engineering, /citations?view_op=view_org&hl=en&oe=ASCII&org=7868974552293588111 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:electrical_engineering
ZhQ0CxsAAAAJ, 6390, 3899, 40, 32, 71, 64, , , Professor,  | Eurecom | Verified email at eurecom.fr -  | Homepage | Computer Security, /citations?view_op=view_org&hl=en&oe=ASCII&org=7868974552293588111 | http://s3.eurecom.fr/~balzarot | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computer_security
ACeJK4AAAAAJ, 6632, 3564, 35, 28, 116, 74, , , professeur émérite   | EURECOM | Verified email at eurecom.fr -  | Homepage | Réseaux Mobiles | IoT, /citations?view_op=view_org&hl=en&oe=ASCII&org=7868974552293588111 | http://www.eurecom.fr/en/people/bonnet-christian | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:r%C3%A9seaux_mobiles | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:iot
giEvvDUAAAAJ, 6159, 3862, 37, 29, 66, 53, , , Lion Cave Capital (formerly at AT&T Labs - Research) | Verified email at eurecom.fr -  | Homepage | IP traffic & performance analysis and optimization, http://www.linkedin.com/in/alexandregerber | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:ip_traffic_%26_performance_analysis_and_optimization
WVLr6NYAAAAJ, 11137, 4694, 37, 30, 70, 57, , , Associate Professor in Communication Systems Dept.,  | EURECOM | , France | Verified email at eurecom.fr -  | Homepage | Performance Analysis | Wireless Networks | Social Networks | Optimization | Machine Learning, /citations?view_op=view_org&hl=en&oe=ASCII&org=7868974552293588111 | http://www.eurecom.fr/~spyropou/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:performance_analysis | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:wireless_networks | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:social_networks | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:optimization | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:machine_learning
QG9iXtUAAAAJ, 9380, 6328, 43, 34, 105, 81, , , Associate Professor in Communication Systems,  | EURECOM | , France | Verified email at eurecom.fr | Wireless Communications & Networking - Communication Theory - Deep Learning, /citations?view_op=view_org&hl=en&oe=ASCII&org=7868974552293588111 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:wireless_communications_%26_networking_communication_theory_deep_learning
KufrHlgAAAAJ, 8867, 2332, 43, 22, 105, 52, , , Professor  | EURECOM | Verified email at eurecom.fr | computer science | computer security | communications | networking | cryptography, /citations?view_op=view_org&hl=en&oe=ASCII&org=7868974552293588111 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computer_science | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computer_security | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:communications | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:networking | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:cryptography
xV6lEzEAAAAJ, 8693, 2397, 42, 18, 149, 42, , , Professor Statistical Signal Processing,  | EURECOM | Verified email at eurecom.fr -  | Homepage | statistical signal processing | wireless communications | information theory | audio, /citations?view_op=view_org&hl=en&oe=ASCII&org=7868974552293588111 | http://www.eurecom.fr/en/people/slock-dirk | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:statistical_signal_processing | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:wireless_communications | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:information_theory | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:audio
