"AuthorID","CitationsAll","CitationsS2014","hIndexAll","hIndexS2014","i10IndexAll","i10IndexS2014","CoAuthorIDs","CoAuthorNames","Description","DescriptionURLs"
aLegzvoAAAAJ, 178128, 71828, 116, 89, 191, 169, , , Professor of Biology, HHMI,  | MIT | , Whitehead Institute | Verified email at wi.mit.edu -  | Homepage | Biology | Gene Regulation | MicroRNAs | Noncoding RNA | Molecular Biology, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://bartellab.wi.mit.edu/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:biology | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:gene_regulation | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:micrornas | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:noncoding_rna | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:molecular_biology
Qf4bw4UAAAAJ, 125840, 34588, 117, 66, 246, 182, , , MIT | Verified email at csail.mit.edu -  | Homepage | Networked computer systems | wireless networks | network architecture | mobile computing, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://nms.csail.mit.edu/~hari | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:networked_computer_systems | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:wireless_networks | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:network_architecture | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:mobile_computing
5HX--AYAAAAJ, 304751, 112418, 271, 154, 1732, 1282, , , David H. Koch Institute Professor,  | MIT | Verified email at mit.edu | drug delivery | tissue engineering | biomaterials | nanotechnology | chemistry, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:drug_delivery | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:tissue_engineering | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:biomaterials | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:nanotechnology | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:chemistry
WgAGy7wAAAAJ, 112101, 23890, 142, 74, 467, 249, , , McDermott Professor in Brain Sciences,  | MIT | Verified email at ai.mit.edu -  | Homepage | Machine Learning | Learning Theory | AI | Neuroscience | Computational Vision, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://cbcl.mit.edu/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:machine_learning | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:learning_theory | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:ai | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:neuroscience | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computational_vision
QtVE6DwAAAAJ, 107806, 26979, 121, 79, 388, 205, , , mit | , piie | Verified email at mit.edu | macro, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:macro
gi0NNjgAAAAJ, 103640, 57461, 123, 101, 227, 209, , , Whitehead Institute/ | MIT | /HHMI | Verified email at wi.mit.edu -  | Homepage | mTOR rapamycin growth nutrients metabolism, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://sabatinilab.wi.mit.edu/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:mtor_rapamycin_growth_nutrients_metabolism
1wq5H9oAAAAJ, 258949, 90692, 195, 98, 446, 274, , , MIT | Verified email at wi.mit.edu -  | Homepage | Cancer Biology | Cell Biology | Genetics, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://weinberglab.wi.mit.edu/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:cancer_biology | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:cell_biology | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:genetics
l9Or8EMAAAAJ, 146776, 68755, 147, 118, 376, 293, , , Economics,  | MIT | Verified email at MIT.edu, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013
lRTRxSIAAAAJ, 114245, 37186, 166, 89, 344, 238, , , Professor of Biology,  | MIT | Verified email at wi.mit.edu -  | Homepage | Biology | Genetics | Genomics | Epigenetics | Cancer, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://younglab.wi.mit.edu/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:biology | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:genetics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:genomics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:epigenetics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:cancer
P4nfoKYAAAAJ, 120906, 33826, 136, 70, 567, 330, , , Professor  | MIT | Verified email at mit.edu -  | Homepage | Social Physics | Honest Signals | Computational Social Science | Network and Complexity Science | Wearable Computing, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://media.mit.edu/~pentland | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:social_physics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:honest_signals | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computational_social_science | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:network_and_complexity_science | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:wearable_computing
mUDHRIQAAAAJ, 148238, 94815, 166, 132, 694, 595, , , Assistant Professor of Physics,  | Massachusetts Institute of Technology | Verified email at mit.edu | Particle Physics, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:particle_physics
gWBoNCsAAAAJ, 85972, 19989, 63, 38, 158, 84, , , MIT | Verified email at mit.edu -  | Homepage | computer science and engineering | mathematics, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://groups.csail.mit.edu/sct/wiki/index.php?title=Charles_E._Leiserson | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computer_science_and_engineering | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:mathematics
nI2URPQAAAAJ, 73919, 26475, 63, 43, 230, 108, , , MIT Sloan | Verified email at mit.edu -  | Homepage | economics | finance | politics, http://baselinescenario.com/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:economics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:finance | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:politics
VUmcVOAAAAAJ, 99493, 29422, 93, 54, 244, 155, , , Massachusetts Institute of Technology | Verified email at mit.edu -  | Homepage | Optimization and Control | Large-Scale Computation, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://web.mit.edu/dimitrib/www/home.html | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:optimization_and_control | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:large_scale_computation
te5DjPQAAAAJ, 76186, 35588, 136, 100, 290, 245, , , MIT | , Broad Institute & Harvard's Wyss Institute | Verified email at mit.edu -  | Homepage | synthetic biology | antibiotics | systems biology | biological physics | nonlinear dynamics, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://collinslab.mit.edu/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:synthetic_biology | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:antibiotics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:systems_biology | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:biological_physics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:nonlinear_dynamics
FwDGf00AAAAJ, 74210, 24684, 105, 53, 308, 173, , , Professor, Department of Earth, Atmospheric, and Planetary Sciences,  | MIT | Verified email at mit.edu -  | Homepage | ozone depletion | stratosphere | climate and climate change, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | https://eapsweb.mit.edu/people/solos/bio | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:ozone_depletion | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:stratosphere | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:climate_and_climate_change
MjF1h7IAAAAJ, 75920, 24595, 145, 87, 349, 275, , , MIT | Verified email at mit.edu | Cognitive Neuroscience, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:cognitive_neuroscience
lsYXBx8AAAAJ, 88981, 55019, 105, 96, 199, 192, , , Professor of Computer Science,  | MIT |  and Broad Institute | Verified email at mit.edu -  | Homepage | Computational Genomics | Epigenomics | Regulatory Genomics | Comparative Genomics | Disease Genomics, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://compbio.mit.edu/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computational_genomics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:epigenomics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:regulatory_genomics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:comparative_genomics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:disease_genomics
