Title,AuthorIDs,AuthorNames,Cited_url
The ONE simulator for DTN protocol evaluation,6hqFsvIAAAAJ;h16ode4AAAAJ,A Keränen;J Ott,"/scholar?cites=9026122263135925161&as_sdt=2005&sciodt=0,5&hl=en"
DTN routing as a resource allocation problem,qtfHsnoAAAAJ;oHbIF48AAAAJ,A Balasubramanian;B Levine,"/scholar?cites=1221014748587717462&as_sdt=2005&sciodt=0,5&hl=en"
Efficient routing in intermittently connected mobile networks: The single-copy case,WVLr6NYAAAAJ;Nir4aJAAAAAJ,T Spyropoulos;K Psounis,"/scholar?cites=9948034795691223163&as_sdt=2005&sciodt=0,5&hl=en"
Spray and focus: Efficient mobility-assisted routing for heterogeneous and correlated mobility,WVLr6NYAAAAJ;Nir4aJAAAAAJ,T Spyropoulos;K Psounis,"/scholar?cites=15280682835521102983&as_sdt=2005&sciodt=0,5&hl=en"
Delegation forwarding,KVEH6uwAAAAJ;vrHhOlUAAAAJ;Hb6J54cAAAAJ,V Erramilli;M Crovella;A Chaintreau,"/scholar?cites=1229108565755782599&as_sdt=2005&sciodt=0,5&hl=en"
Hierarchical trust management for wireless sensor networks and its applications to trust-based routing and intrusion detection,r1S8NBEAAAAJ;UdangLEAAAAJ,F Bao;R Chen,"/scholar?cites=8886730406407617162&as_sdt=2005&sciodt=0,5&hl=en"
Disruption-tolerant networking: A comprehensive survey on recent developments and persisting challenges,J_Zei9AAAAAJ;_ybDwMYAAAAJ;3o50cnIAAAAJ,MJ Khabbaz;CM Assi;WF Fawaz,"/scholar?cites=1783884957605576129&as_sdt=2005&sciodt=0,5&hl=en"
Routing in delay/disruption tolerant networks: A taxonomy; survey and challenges,X0hu8rIAAAAJ,Z Sun,"/scholar?cites=8927953821550976276&as_sdt=2005&sciodt=0,5&hl=en"
Optimal buffer management policies for delay tolerant networks,pCXSdr0AAAAJ;ww87pkcAAAAJ;WVLr6NYAAAAJ,A Krifa;C Barakat;T Spyropoulos,"/scholar?cites=14219269313437553287&as_sdt=2005&sciodt=0,5&hl=en"
Smart: A secure multilayer credit-based incentive scheme for delay-tolerant networks,_5lzNDUAAAAJ;om3xUIcAAAAJ;DeBXK0UAAAAJ;pXfBb-oAAAAJ,H Zhu;X Lin;R Lu;Y Fan,"/scholar?cites=16500593819005176269&as_sdt=2005&sciodt=0,5&hl=en"
A parsimonious model of mobile partitioned networks with clustering,,,"/scholar?cites=17197171660444315740&as_sdt=2005&sciodt=0,5&hl=en"
Exploiting users' social relations to forward data in opportunistic networks: The HiBOp solution,rCrzxbsAAAAJ;KniFTD0AAAAJ;sesKnygAAAAJ,C Boldrini;M Conti;A Passarella,"/scholar?cites=2382203573592807731&as_sdt=2005&sciodt=0,5&hl=en"
A survey on content-centric technologies for the current Internet: CDN and P2P solutions,sesKnygAAAAJ,A Passarella,"/scholar?cites=9821721273513260524&as_sdt=2005&sciodt=0,5&hl=en"
Routing in delay-tolerant networks comprising heterogeneous node populations,WVLr6NYAAAAJ;Q7hXnU8AAAAJ,T Spyropoulos;T Turletti,"/scholar?cites=14863411052853374664&as_sdt=2005&sciodt=0,5&hl=en"
Pi: A practical incentive protocol for delay tolerant networks,DeBXK0UAAAAJ;om3xUIcAAAAJ;_5lzNDUAAAAJ;Bjl3GwoAAAAJ,R Lu;X Lin;H Zhu;X Shen,"/scholar?cites=3727610029310556952&as_sdt=2005&sciodt=0,5&hl=en"
GeoSpray: A geographic routing protocol for vehicular delay-tolerant networks,a4GD8aoAAAAJ;97WutEsAAAAJ,VNGJ Soares;JJPC Rodrigues,"/scholar?cites=8883609140794595159&as_sdt=2005&sciodt=0,5&hl=en"
[BOOK] [B]   Delay tolerant networks: Protocols and applications,_yWPQWoAAAAJ;uiA3yegAAAAJ;WVLr6NYAAAAJ,AV Vasilakos;Y Zhang;T Spyropoulos,"/scholar?cites=10000740647067213567&as_sdt=2005&sciodt=0,5&hl=en"
Social-aware stateless forwarding in pocket switched networks,eCiUVHcAAAAJ;mi1S91sAAAAJ;345-ILkAAAAJ,A Mei;G Morabito;P Santi,"/scholar?cites=341843600122173948&as_sdt=2005&sciodt=0,5&hl=en"
Exploiting friendship relations for efficient routing in mobile social networks,wvvIyOwAAAAJ;2OJOZTUAAAAJ,E Bulut;BK Szymanski,"/scholar?cites=1654498944673184803&as_sdt=2005&sciodt=0,5&hl=en"
Delay and capacity tradeoff analysis for motioncast,CT5yZbwAAAAJ;xQFN6xoAAAAJ;Bnv_t0sAAAAJ;3TxgaIwAAAAJ,X Wang;W Huang;S Wang;J Zhang,"/scholar?cites=15150610582850245356&as_sdt=2005&sciodt=0,5&hl=en"
Modeling spatial and temporal dependencies of user mobility in wireless mobile networks,X5qtFmcAAAAJ;WVLr6NYAAAAJ;Nir4aJAAAAAJ,WJ Hsu;T Spyropoulos;K Psounis,"/scholar?cites=15218318038068125005&as_sdt=2005&sciodt=0,5&hl=en"
Friendship based routing in delay tolerant mobile social networks,wvvIyOwAAAAJ;2OJOZTUAAAAJ,E Bulut;BK Szymanski,"/scholar?cites=9302400802919463437&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] [PDF]   Increasing reality for dtn protocol simulations,6hqFsvIAAAAJ;h16ode4AAAAJ,A Keränen;J Ott,"/scholar?cites=6727322767529166608&as_sdt=2005&sciodt=0,5&hl=en"
A survey of social-aware routing protocols in delay tolerant networks: applications; taxonomy and design-related issues,,,"/scholar?cites=8168293814817534379&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] [PDF]   Simulating Mobility and DTNs with the ONE,6hqFsvIAAAAJ;h16ode4AAAAJ,A Keränen;J Ott,"/scholar?cites=4361517884511428617&as_sdt=2005&sciodt=0,5&hl=en"
Energy-efficient optimal opportunistic forwarding for delay-tolerant networks,kmgzPeQAAAAJ;10HcE2QAAAAJ,Y Li;Y Jiang,"/scholar?cites=6679721633410497623&as_sdt=2005&sciodt=0,5&hl=en"
The impact of node selfishness on multicasting in delay tolerant networks,kmgzPeQAAAAJ;XWLOtwQAAAAJ;sDRLr8gAAAAJ,Y Li;G Su;DO Wu,"/scholar?cites=17849691274842837850&as_sdt=2005&sciodt=0,5&hl=en"
Decentralized stochastic control of delay tolerant networks,pEfJPS0AAAAJ;ajJxXnEAAAAJ;EYyOnEkAAAAJ,E Altman;G Neglia;F De Pellegrini,"/scholar?cites=4375820129395509811&as_sdt=2005&sciodt=0,5&hl=en"
Homing spread: Community home-based multi-copy routing in mobile social networks,BVlfmXMAAAAJ,J Wu,"/scholar?cites=16166647779359180314&as_sdt=2005&sciodt=0,5&hl=en"
Assessing the vulnerability of DTN data relaying schemes to node selfishness,VaYHoB0AAAAJ,M Karaliopoulos,"/scholar?cites=9478217932344736014&as_sdt=2005&sciodt=0,5&hl=en"
A directional data dissemination protocol for vehicular environments,coCDIj8AAAAJ;kDaPTYkAAAAJ;-NeovbkAAAAJ,RS Schwartz;RRR Barbosa;N Meratnia,"/scholar?cites=6887902540933280115&as_sdt=2005&sciodt=0,5&hl=en"
Cost-effective multiperiod spraying for routing in delay-tolerant networks,wvvIyOwAAAAJ;0YgrjRAAAAAJ;2OJOZTUAAAAJ,E Bulut;Z Wang;BK Szymanski,"/scholar?cites=14600923761441617431&as_sdt=2005&sciodt=0,5&hl=en"
Mobile ad hoc nanonetworks with collision-based molecular communication,8GXhl0oAAAAJ;H1dTZckAAAAJ,B Atakan;OB Akan,"/scholar?cites=11878362466863741501&as_sdt=2005&sciodt=0,5&hl=en"
Context-and social-aware middleware for opportunistic networks,rCrzxbsAAAAJ;KniFTD0AAAAJ;fiw73vIAAAAJ,C Boldrini;M Conti;F Delmastro,"/scholar?cites=541212692322853073&as_sdt=2005&sciodt=0,5&hl=en"
