Title,Authors,Conference,Cited_urls,Cited_count,Year
Resource deadlocks and performance of wormhole multicast routing algorithms,"RV Boppana, S Chalasani, CS Raghavendra","IEEE Transactions on Parallel and Distributed Systems 9 (6), 535-549",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=314856396136355978,110,1998
Gracefully degradable processor arrays,"JAB Fortes, CS Raghavendra","IEEE Transactions on Computers, 1033-1044",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3402502829878701847,108,1985
Collaborative classification applications in sensor networks,"C Meesookho, S Narayanan, CS Raghavendra","Sensor Array and Multichannel Signal Processing Workshop Proceedings, 2002 …",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12702283581090097436,104,2002
Image composition schemes for sort-last polygon rendering on 2d mesh multicomputers,"TY Lee, CS Raghavendra, JB Nicholas","IEEE Transactions on Visualization and Computer Graphics 2 (3), 202-217",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13553296210843834568,104,1996
The Gamma network: A multiprocessor interconnection network with redundant paths,"DS Parker, CS Raghavendra","ACM SIGARCH Computer Architecture News 10 (3), 73-80",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9319132755558546118,90,1982
Embedding of rings and meshes onto faulty hypercubes using free dimensions,"PJ Yang, SB Tien, CS Raghavendra","IEEE Transactions on Computers 43 (5), 608-613",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3392843324260903503,89,1994
A survey of multi-connected loop topologies for local computer networks,"CS Raghavendra, JA Silvester","Computer Networks and ISDN Systems 11 (1), 29-42",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4546036036473647648,86,1986
Reliability analysis in distributed systems,"CS Raghavendra, VKP Kumar, S Hariri","IEEE transactions on Computers 37 (3), 352-358",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13424243704466936243,84,1988
Goffish: A sub-graph centric framework for large-scale graph analytics,"Y Simmhan, A Kumbhare, C Wickramaarachchi, S Nagarkar, S Ravi, ...","European Conference on Parallel Processing, 451-462",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3021738796066663885,78,2014
Compression techniques for wireless sensor networks,"C Tang, CS Raghavendra","Wireless sensor networks, 207-231",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17368497416553054785,78,2004
Efficient wavelet-based predictive Slepian–Wolf coding for hyperspectral imagery,"NM Cheung, C Tang, A Ortega, CS Raghavendra","Signal Processing 86 (11), 3180-3195",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9306226396324021555,74,2006
Fault-tolerant routing in multistage interconnection networks,"A Varma, CS Raghavendra","IEEE Transactions on Computers 38 (3), 385-393",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2759125155393146091,74,1989
PEGASIS: Power-efficient gathering in sensor information system,"S Lindesy, C Raghavendra","Proc. of 2002 IEEE aerospace conference, 1-6",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2153375233366554944,73,2002
Adaptive communication algorithms for distributed heterogeneous systems,"PB Bhat, VK Prasanna, CS Raghavendra","Journal of Parallel and Distributed Computing 59 (2), 252-279",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=7707717504402023317,71,1999
Dynamic distributed multicast routing protocol,"X Chen, VP Kumar, CS Raghavendra, R Venkateswaran","US Patent 5,946,316",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3483574060357696198,71,1999
On multicast wormhole routing in multicomputer networks,"RV Boppana, S Chalasani, CS Raghavendra",Proceedings of 1994 6th IEEE Symposium on Parallel and Distributed …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17470167845514344879,70,1994
Efficient inter-band prediction and wavelet based compression for hyperspectral imagery: a distributed source coding approach,"C Tang, NM Cheung, A Ortega, CS Raghavendra","Data Compression Conference, 437-446",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15575619960579726606,66,2005
Asympotic capacity bounds for ad-hoc networks revisited: the directional and smart antenna cases,"A Spyropoulos, CS Raghavendra",GLOBECOM'03. IEEE Global Telecommunications Conference (IEEE Cat. No …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12533421999357682037,66,2003
Multicast routing in self-routing multistage networks,"X Chen, V Kumar","Proceedings of INFOCOM'94 Conference on Computer Communications, 306-314","https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6049622655147815299,18381126755656152710",64,1994
Free dimensions-an effective approach to achieving fault tolerance in hypercube,"CS Raghavendra, PJ Yang, SB Tien",[1992] Digest of Papers. FTCS-22: The Twenty-Second International Symposium …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=7410737226455709128,64,1992
Energy efficient broadcasting for situation awareness in ad hoc networks,"S Lindsey, CS Raghavendra","International Conference on Parallel Processing, 2001., 149-155",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8258877503602339889,60,2001
Efficient algorithms for block-cyclic array redistribution between processor sets,"N Park, VK Prasanna, CS Raghavendra","IEEE Transactions on Parallel and Distributed Systems 10 (12), 1217-1240",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=18045282555702590082,60,1999
Rearrangeability of multistage shuffle/exchange networks,"A Varma, CS Raghavendra",Proceedings of the 14th annual international symposium on Computer …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=1129630814825110241,60,1987
Fault-tolerant multiprocessors with redundant-path interconnection networks,"CS Raghavendra, A Varma","IEEE Transactions on Computers, 307-316",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15676754121304631103,60,1986
Algorithms and bounds for shortest paths and diameter in faulty hypercubes,"SB Tien, CS Raghavendra","IEEE Transactions on Parallel and Distributed Systems 4 (6), 713-718",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=18385845771556433864,55,1993
INDRA: A class of interconnection networks with redundant paths,"CS Raghavendra, A Varma","1984 Real Time Systems Symposium, 153-164",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8571451575105839464,55,1984
Fault-tolerant networks based on the de Bruijn graph,"MA Sridhar, CS Raghavendra","IEEE transactions on Computers, 1167-1174",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=10340035316518283353,54,1991
Power optimization in routing protocols for wireless and mobile networks,"S Lindsey, K Sivalingam, CS Raghavendra","Handbook of Wireless Networks and Mobile Computing, 407-423",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=88489039411743445,53,2002
Permutations on Illiac IV-type networks,P Kumar,"IEEE Transactions on Computers 100 (7), 662-669",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11716746364322947744,53,1986
Reliability analysis of redundant-path interconnection networks,"A Varma, CS Raghavendra","IEEE Transactions on Reliability 38 (1), 130-137",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13521370569393327438,51,1989
Rearrangeability of the five-stage shuffle/exchange network for N= 8,"C Raghavendra, A Varma","IEEE transactions on communications 35 (8), 808-812",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15122754422285012828,50,1987
A framework for mapping with resource co-allocation in heterogeneous computing systems,"AH Alhusaini, VK Prasanna, CS Raghavendra",Proceedings 9th Heterogeneous Computing Workshop (HCW 2000)(Cat. No. PR00556 …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3474463108544155972,49,2000
On Array Storage for Conflict-Free Memory Access for Parallel Processors.,"M Balakrishnan, R Jain, CS Raghavendra","ICPP (1), 103-107",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5064369457798581643,47,1988
Array processor with multiple broadcasting,"VK Kumar, CS Raghavendra","ACM SIGARCH Computer Architecture News 13 (3), 2-10",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13731857744433753721,47,1985
Datacenter traffic control: Understanding techniques and tradeoffs,"M Noormohammadpour, CS Raghavendra","IEEE Communications Surveys & Tutorials 20 (2), 1492-1525",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=14070703725181250378,45,2017
Energy efficient adaptation of multicast protocols in power controlled wireless ad hoc networks,"C Tang, CS Raghavendra","Mobile Networks and Applications 9 (4), 311-317",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11727997712743923972,45,2004
Multiple-copy routing in intermittently connected mobile networks,"K Psounis, CS Raghavendra","Technical report CENG-2004-12, USC",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16925855867089019951,44,2004
