Title,Authors,Conference,Cited_urls,Cited_count,Year
A two phase multicast routing algorithm in self-routing multistage networks,"CS Raghavendra, X Chen, VP Kumar","Proceedings IEEE International Conference on Communications ICC'95 3, 1612-1618",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3204473667627125274,15,1995
HMESH: a VLSI architecture for parallel processing,CS Raghavendra,"International Conference on Parallel Processing, 76-83",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5363406840774131567,15,1986
System and method for failure prediction for artificial lift systems,"Y Liu, KT Yao, S Liu, CS Raghavendra, OO Balogun, L Olabinjo","US Patent 8,988,237",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17866924433236833770,14,2015
Failure Prediction for Artificial Lift Systems,"Y Liu, KT Yao, S Liu, CS Raghavendra, TL Lenz, L Olabinjo, FB Seren, ...",SPE Western Regional Meeting,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=7429926256610195512,14,2010
A distributed algorithm for waking-up in heterogeneous sensor networks,"A Spyropoulos, CS Raghavendra, VK Prasanna","Information Processing in Sensor Networks, 609-624",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15939568349474463998,14,2003
Broadcasting algorithms in faulty SIMD hypercubes,"CS Raghavendra, MA Sridhar",[1992] Proceedings of the Fourth IEEE Symposium on Parallel and Distributed …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12419960817497511054,14,1992
Fault tolerance in regular network architectures,C Raghavendra,"IEEE Micro, 44-53",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12738890041914893444,14,1984
Distributed programming over time-series graphs,"Y Simmhan, N Choudhury, C Wickramaarachchi, A Kumbhare, M Frincu, ...","2015 IEEE International Parallel and Distributed Processing Symposium, 809-818",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3087743005596902104,13,2015
Combining Space-based and In-situ measurements to track flooding in Thailand,"S Chien, J Doubleday, D Mclaren, D Tran, V Tanpipat, R Chitradon, ...","2011 IEEE International Geoscience and Remote Sensing Symposium, 3935-3938",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=10415436904339867305,13,2011
Designing efficient benes and banyan based input-buffered atm switches,"RV Boppana, CS Raghavendra",1999 IEEE International Conference on Communications (Cat. No. 99CH36311) 3 …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=10354330987024637344,13,1999
Fault-tolerant routing in MIN-based supercomputers,"S Chalasani, CS Raghavendra, A Varma","Journal of Parallel and Distributed Computing 22 (2), 154-167",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2913571934130100230,13,1994
A state-aggregation method for analyzing dynamic load-balancing policies,"HC Lin, CS Raghavendra",[1993] Proceedings. The 13th International Conference on Distributed …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12631148518885574464,13,1993
Reconfiguration of binary trees in faulty hypercubes,"PJ Yang, CS Raghavendra","[1993] Proceedings Seventh International Parallel Processing Symposium, 401-405",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=1686383676062630230,13,1993
Fault-Tolerance and Data-Flow Systems.,"JL Gaudiot, CS Raghavendra","ICDCS, 16-23",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3448173300080676397,13,1985
System and method for failure detection for artificial lift systems,"S Liu, CS Raghavendra, Y Liu, KT Yao, OO Balogun, O Olabinjo, ...","US Patent 9,280,517",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13193896034854261065,12,2016
System and method for failure prediction for rod pump artificial lift systems,"Y Liu, KT Yao, S Liu, CS Raghavendra, L Olabinjo, FB Seren, ...","US Patent 8,988,236",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11101473124629006043,12,2015
An autonomic routing framework for sensor networks,"Y He, CS Raghavendra, S Berson, R Braden","Cluster Computing 9 (2), 191-200",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2566889385679754774,12,2006
Collaborative and distributed computation in mesh-like wireless sensor arrays,"M Singh, VK Prasanna, J Rolim, CS Raghavendra","IFIP International Conference on Personal Wireless Communications, 1-11",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4062496858373434356,12,2003
"A scalable, dynamic multicast routing algorithm in ATM networks","R Venkateswaren, CS Raghavendra, X Chen, VP Kumar","Proceedings of ICC'97-International Conference on Communications 3, 1361-1365",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3786210247826902595,12,1997
Embedding and reconfiguration of binary trees in faulty hypercubes,"PJ Yang, CS Raghavendra","Proceedings Sixth International Parallel Processing Symposium, 2-9",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17362785839319064824,12,1992
Coherent optical polarization-shift-keying (PolSK) homodyne system using phase-diversity receivers,"I Seto, T Ohtsuki, H YASHIMA, I Sasase, S Mori","IEICE TRANSACTIONS on Electronics 75 (1), 50-57","https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16220101055311081398,5592778963980214962",12,1992
"Flexible, fault-tolerant routing criteria for circuit-switched hypercubes","GM Chiu, S Chalasani, CS Raghavendra",[1991] Proceedings. 11th International Conference on Distributed Computing …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15348977654555264404,12,1991
Optical matrix-vector implementation of crossbar interconnection networks,"AA Sawchuk, BK Jenkins, CS Raghavendra, A Varma","1986 International Conference on Parallel Processing, University Park, PA …",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8507493490992732192,12,1986
Autoencoder-derived features as inputs to classification algorithms for predicting well failures,"J Liu, A Jaiswal, KT Yao, CS Raghavendra",SPE Western Regional Meeting,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9926064522795776979,11,2015
Soft-timeout distributed key generation for digital signature based on elliptic curve d-log for low-power devices,"C Tang, AT Chronopoulos, CS Raghavendra",First International Conference on Security and Privacy for Emerging Areas in …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15903021830520216386,11,2005
Building programmable routing service for sensor networks,"Y He, CS Raghavendra","Computer communications 28 (6), 664-675",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17891333687599475845,11,2005
Guest editorial: special issue on wireless sensor networks,"T Znati, C Raghavendra, K Sivalingam","Mobile Networks and Applications 8 (4), 425-425",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2979833789514694676,11,2003
An analysis of a reliability model for repairable fault-tolerant systems,"M Balakrishnan, CS Raghavendra","IEEE transactions on computers 42 (3), 327-339",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11795321935764776557,11,1993
On finding maximal subcubes in residual hypercubes,"MA Sridhar, CS Raghavendra",Proceedings of the Second IEEE Symposium on Parallel and Distributed …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=10425588271964114128,11,1990
Issues in the implementation of fault-tolerant VLSI and WSI systems,"TE Mangir, CS Raghavendra","Proc. Int'l Conf. on Computer Design, 95-100",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13050327261633326931,11,1984
Scalable analytics over distributed time-series graphs using goffish,"Y Simmhan, C Wickramaarachchi, A Kumbhare, M Frincu, S Nagarkar, ...",arXiv preprint arXiv:1406.5975,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8850391875156676666,10,2014
Scalable time management algorithms using active networks for distributed simulation,"C Lee, E Coe, JM Clark, J Stepanek, C Raghavendra, S Bhatia, R Puri","Proceedings DARPA Active Networks Conference and Exposition, 366-378",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9127053064525186393,10,2002
DMRP: a distributed multicast routing protocol for ATM networks,"R Venkateswaran, CS Raghavendra, X Chen, VP Kumar","IEEE ATM'97 Workshop Proceedings (Cat. No. 97TH8316), 263-271",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=18119139277229255347,10,1997
Uniform minimal full-access networks,"MA Sridhar, CS Raghavendra","Journal of Parallel and Distributed Computing 5 (4), 383-403",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3460597624946675614,10,1988
Realization of permutations on generalized Indra networks,"A Varma, CS Raghavendra","Information Sciences 44 (1), 51-69",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16056195175021457310,10,1988
DDCCast: Meeting point to multipoint transfer deadlines across datacenters using ALAP scheduling policy,"M Noormohammadpour, CS Raghavendra",arXiv preprint arXiv:1707.02027,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=14070714492838253755,9,2017
Automatic early fault detection for rod pump systems,"S Liu, CS Raghavendra, Y Liu, KT Yao, O Balogun, L Olabinjo, R Soma, ...",SPE annual technical conference and exhibition,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=7734100763305488486,9,2011
Distributed source coding,"Z Xiong, AD Liveris, Y Yang","Handbook on array processing and sensor networks, 609-643",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12436742347659398839,9,2009
A fully interdisciplinary approach to capstone design courses,"M Redekopp, C Raghavendra, A Weber, G Ragusa, T Wilbur",American Society for Engineering Education,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9820509433358737929,9,2009
ADAPT: a media access control protocol for mobile ad hoc networks using adaptive array antennas,"T Spyropoulos, CS Raghavendra","2004 IEEE 15th International Symposium on Personal, Indoor and Mobile Radio …",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13660478215229257209,9,2004
Correlation analysis and applications in wireless microsensor networks,"C Tang, CS Raghavendra",The First Annual International Conference on Mobile and Ubiquitous Systems …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8634182523300982981,9,2004
Tcp performance with active dynamic source routing for ad hoc networks,"Y He, CS Raghavendra, S Berson, R Braden",Proc. International Workshop on Active Network Technologies and Applications …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16632709085942968264,9,2003
Reconfiguration of rings and meshes in faulty hypercubes,"PJ Yang, SB Tien, CS Raghavendra","Journal of Parallel and Distributed Computing 22 (1), 96-106",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5928972950488773799,9,1994
Fault-tolerant routing in multistage interconnection networks,"A Varma, CS Raghavendra","Interconnection networks for high-performance parallel computers, 688-696",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=7343058806692982158,9,1994
Reconfiguring embedded task graphs in faulty hypercubes by automorphisms,"SB Tien, CS Raghavendra, MA Sridhar","Twenty-Third Annual Hawaii International Conference on System Sciences 1, 91-100",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4943729070103229591,9,1990
Data Driven Approach to Failure Prediction for Electrical Submersible Pump Systems,"D Guo, CS Raghavendra, KT Yao, M Harding, A Anvar, A Patel",SPE Western Regional Meeting,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13974546194581248447,8,2015
Compact representation of coordinated sampling policies for body sensor networks,"S Liu, A Panangadan, A Talukder, CS Raghavendra","2010 IEEE Globecom Workshops, 2044-2048",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8424385580556626070,8,2010
SPECIAL SECTION ON MOBILE COMPUTING AND WIRELESS NETWORKS-Data Gathering Algorithms in Sensor Networks Using Energy Metrics,"S Lindsey, C Raghavendra, KM Sivalingam","IEEE Transactions on Parallel and Distributed Systems 13 (9), 924-935",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9215566228830202980,8,2002
Improved VC-merging for multiway communications in ATM networks,"R Venkateswaran, S Li, X Chen, CS Raghavendra, N Ansari",Proceedings 7th International Conference on Computer Communications and …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16067694496809372190,8,1998
Nonblocking properties of interconnection switching networks,"V Chandramouli, CS Raghavendra","IEEE transactions on communications 43 (2/3/4), 1793-1799",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5202431709305481548,8,1995
Experimental evaluation of load balancing strategies for ray tracing on parallel processors,"TYLTY Lee, CS Raghavendra, JB Nicholas","1994 Internatonal Conference on Parallel Processing Vol. 2 2, 264-267",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11013312910180456149,8,1994
On reliability modeling of closed fault-tolerant computer systems,"M Balakrishnan, CS Raghavendra","IEEE Transactions on Computers 39 (4), 571-575",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=7181396257688906088,8,1990
Fault-tolerant routing in a class of double loop networks,"K Van Le, CS Raghavendra","IEEE INFOCOM'88, Seventh Annual Joint Conference of the IEEE Computer and …",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9553594549619790445,8,1988
Rcd: Rapid close to deadline scheduling for datacenter networks,"M Noormohammadpour, CS Raghavendra, S Rao, AM Madni","2016 World Automation Congress (WAC), 1-6",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=10839229208936039771,7,2016
Semi-supervised failure prediction for oil production wells,"Y Liu, KT Yao, S Liu, CS Raghavendra, O Balogun, L Olabinjo","2011 IEEE 11th International Conference on Data Mining Workshops, 434-441",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15687172869815501791,7,2011
MDP framework for sensor network coordination,"S Liu, A Panangadan, A Talukder, CS Raghavendra",Proceedings of the 2009 International Conference on Information Processing …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5036909184501613356,7,2009
Bitplane coding for correlations exploitation in wireless sensor networks,"C Tang, CS Raghavendra","IEEE International Conference on Communications, 2005. ICC 2005. 2005 2, 906-912",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=14228134737033210968,7,2005
Power aware coding for spatio-temporally correlated wireless sensor data,"C Tang, CS Raghavendra, VK Prasanna",2004 IEEE International Conference on Mobile Ad-hoc and Sensor Systems (IEEE …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=14286587981208261668,7,2004
Fault-tolerant routing for satellite command and control,"J Stepanek, E Coe, R Sims, CS Raghavendra",2004 IEEE Aerospace Conference Proceedings (IEEE Cat. No. 04TH8720) 3,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13703419750414075214,7,2004
Vulnerability Analysis of Faults/Attacks in Network Centric Systems.,"S Hariri, T Dharmagadda, M Ramkishore, G Qu, CS Raghavendra","ISCA PDCS, 256-261",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13883055317903185484,7,2003
PEGASIS: Power-Efficient Gathering in Sensor Information Systems Stephanie Lindsey,CS Raghavendra,"work 310, 336-1686",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=10177276902829204404,7,2001
Technique for efficiently transporting information through an asynchronous transfer mode (ATM) network,"X Chen, VP Kumar, CS Raghavendra, R Venkateswaran","US Patent 6,144,666",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11524473582724964583,7,2000
Efficient matrix multiplication using cache conscious data layouts,"N Park, W Liu, VK Prasanna, C Raghavendra",Prof. of HPCMO User Group Conference,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9580447110430900056,7,2000
Approximating the mean response time of parallel queues with JSQ policy,"HC Lin, CS Raghavendra","Computers & operations research 23 (8), 733-740",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4458953335292073423,7,1996
Total exchange in faulty SIMD hypercubes,"A Sengupta, CS Raghavendra","Proceedings of 8th International Parallel Processing Symposium, 853-857",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5433581336031883754,7,1994
Prefix computation on a faulty hypercube,"CS Raghavendra, MA Sridhar, S Harikumar","1993 International Conference on Parallel Processing-ICPP'93 3, 280-283",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15693903912606139603,7,1993
Performance study of dynamic load balancing policies for distributed systems with service interruptions,"HC Lin, GM Chiu, CS Raghavendra",IEEE INFCOM'91. The conference on Computer Communications. Tenth Annual …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=14381103449241871868,7,1991
Discriminative properties of hippocampal hypoperfusion in marijuana users compared to healthy controls: Implications for marijuana administration in Alzheimer’s dementia,"DG Amen, B Darmal, CA Raji, W Bao, L Jorandby, S Meysami, ...","Journal of Alzheimer's Disease 56 (1), 261-273",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17803601553392659851,6,2017
Computation of multiple paths in MANETs using node disjoint method,"M Nagaratna, PVS Srinivas, VK Prasad, CR Rao","International Journal of Computer Science Issues (IJCSI) 8 (3), 550",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16852136867739667802,6,2011
Efficient multi-party digital signature using adaptive secret sharing for low-power devices in wireless networks,"C Tang, DO Wu, AT Chronopoulos, CS Raghavendra","IEEE transactions on wireless communications 8 (2), 882-889",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5322090100819462020,6,2009
Evaluation of a Markov Decision Process-based Coordinated Sampling Method,"S Liu, A Panangadan, A Talukder, CS Raghavendra","Workshop on Sensor Networks for Earth and Space Science Application, The 8th …",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8973904769213489229,6,2009
Power aware wireless sensor networks using tripwire detection and cueing,"C Tang, CS Raghavendra",Proceedings of the 38th Annual Hawaii International Conference on System …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11273186497373955218,6,2005
Parallel implementation of a ray tracing algorithm for distributed memory parallel computers,"TY Lee, CS Raghavendra, JB Nicholas","Concurrency: Practice and Experience 9 (10), 947-965",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3764215090911026133,6,1997
Dimension ordering and broadcast algorithms in faulty SIMD hypercubes,"CS Raghavendra, MA Sridhar","Journal of Parallel and Distributed Computing 35 (1), 57-66",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6304553312741473921,6,1996
Global commutative and associative reduction operations in faulty simd hypercubes,"CS Raghavendra, MA Sridhar","IEEE transactions on computers 45 (4), 495-498",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9542206350020456923,6,1996
An Efficient Sort-Last Polygon Rendering Scheme on 2-D Mesh Parallel Computers,"TY Lee, CS Raghavendra, JB Nicholas","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON PARALLEL PROCESSING, III-9",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6768859726530761939,6,1995
Improved algorithms for load balancing in circuit-switched hypercubes,"CS Raghavendra, S Chalasani, RV Boppana",[1991] Proceedings. The Fifth International Parallel Processing Symposium …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13691303571787502327,6,1991
A simple algorithm to route arbitrary permutations on 8-input 5-stage shuffle/exchange network,"K Kim, CS Raghavendra",[1991] Proceedings. The Fifth International Parallel Processing Symposium …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=734289783428103517,6,1991
"All-to-All Personalized Communication on Circuit Switched Hypercubes,""","RV Boppana, CS Raghavendra",Technical Report,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3282849489520939870,6,1990
"Applications for arithmetic error codes in large, high-performance computers","A Avizienis, CS Raghavendra","1983 IEEE 6th Symposium on Computer Arithmetic (ARITH), 169-173",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11166131041991169430,6,1983
Analyzing the Effect of Antenna Type and MAC Protocol on Wireless Ad-Hoc Network Capacity,"T Spyropoulos, CS Raghavendra",USC Technical Report2006,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17116224096806133837,5,2006
A token-based greedy chain scheduling algorithm (T-GCSA) for situation aware wireless LANs,"A Spyropoulos, C Raghavendra","Proceedings, IEEE Aerospace Conference 3, 3-3",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3313822409230504839,5,2002
All-to-all broadcast and matrix multiplication in faulty SIMD hypercubes,"A Sengupta, CS Raghavendra","IEEE Transactions on Parallel and Distributed Systems 9 (6), 550-560",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11811913027191756123,5,1998
PAMAS-power aware multi-access protocol with signalling for ad hoc networks,"CS Raghavendra, S Singh",Oct,"https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5505289662824251509,18150612548356758739",5,1997
Flexible routing criteria for circuit-switched hypercubes,"GM Chiu, S Chalasani, CS Raghavendra","Journal of Parallel and Distributed Computing 22 (2), 279-294",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2881203890044796288,5,1994
A fully distributed parallel ray tracing scheme on the Delta Touchstone machine,"TY Lee, CS Raghavendra, JB Nicholas",[1993] Proceedings The 2nd International Symposium on High Performance …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15053223284968862326,5,1993
Minimal full-access networks: enumeration and characterization,"MA Sridhar, CS Raghavendra","Journal of Parallel and Distributed Computing 9 (4), 347-356",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4070999899409749477,5,1990
Efficient extraction of high centrality vertices in distributed graphs,"AG Kumbhare, M Frincu, CS Raghavendra, VK Prasanna","2014 IEEE High Performance Extreme Computing Conference (HPEC), 1-7",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=674576498125595775,4,2014
Weighted task regularization for multitask learning,"Y Liu, A Wu, D Guo, KT Yao, CS Raghavendra","2013 IEEE 13th International Conference on Data Mining Workshops, 399-406",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3916709909273672048,4,2013
Routing fountains: Leveraging wide-area broadcast to improve mobile inter-domain routing,"J Train, J Bannister, CS Raghavendra","2011-MILCOM 2011 Military Communications Conference, 842-848",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16128527878615851133,4,2011
Learning a policy for coordinated sampling in body sensor networks,"S Liu, A Panangadan, A Talukder, CS Raghavendra","2011 International Conference on Body Sensor Networks, 77-82",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12640287292506519968,4,2011
Time management in active networks,"C Lee, E Coe, JM Clark, J Stepanek, C Raghavendra, K Bellman",Proceedings Third Annual International Workshop on Active Middleware …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=1677281146089066738,4,2001
Comparing multicast protocols in mobile ad hoc networks,"RC Durst, K Scott, MJ Zukoski, CS Raghavendra","2001 IEEE Aerospace Conference Proceedings (Cat. No. 01TH8542) 3, 3/1051-3 …",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8199797335437030713,4,2001
On some global operations in faulty SIMD hypercubes,"A Sengupta, CS Raghavendra","Proceedings of International Conference on Parallel Processing, 579-583",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4535455207087110108,4,1996
A practical scheduling scheme for non-uniform parallel loops on distributed memory parallel machines,"TY Lee, CS Raghavendra, H Sivaraman",Proceedings of HICSS-29: 29th Hawaii International Conference on System …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16629745153879475323,4,1996
Multicast switch based on tandem expanded delta network,"R Venkateswaran, CS Raghavendra","Proceedings of GLOBECOM'95 3, 1707-1711",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11052845613456291740,4,1995
Parallelizing sequential programs to a cluster of workstations,"H Sivaraman, CS Raghavendra","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON PARALLEL PROCESSING, 38-41",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5278526623781419871,4,1995
Routing permutations on hypercube machines with half-duplex links,"CS Raghavendra, MA Sridhar","Journal of Parallel and Distributed Computing 20 (1), 14-19",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=10768546147001881253,4,1994
Global semigroup operations in faulty SIMD hypercubes,"CS Raghavendra, MA Sridhar","[1993] Proceedings Seventh International Parallel Processing Symposium, 706-711",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6971776634815233115,4,1993
An algorithm for optimal file allocation in distributed computing systems,"GM Chiu, CS Raghavendra",INFOCOM 87,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=326371572337778583,4,1987
Geometric algorithms on HMESH architecture,"SB Chalasani, CS Raghavendra",Proc. IEEE Workshop on Computer Architecture for Pattern Analysis and …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9268544665333880129,4,1987
FAULT TOLERANCE IN COMPUTER COMMUNICATION ARCHITECTURES.,CS Raghavendra,,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12972260294937912594,4,1983
A simulator for on-line arithmetic,"CS Raghavendra, MD Ercegovac","1981 IEEE 5th Symposium on Computer Arithmetic (ARITH), 92-98",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=734068585298588623,4,1981
Probabilistic Routing in Intermittently Connected Networks.,"L Liu, Z Chen, HY Huang, PE Luo, M Li, D Li, X Li, W Shu, MY Wu, H Kang, ...","Information Technology Journal 9 (2), 3381-3396",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2788126504609190949,3,2007
Energy Efficient Detection Algorithms for Wireless Sensor Networks,"C Tang, CS Raghavendra",Book chapter in Handbook on Theoretical and Algorithmic Aspects of Sensor …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2163640740166564154,3,2005
Wavelet based source broadcast for in-network processing in sensor networks unknown side information,"C Tang, CS Raghavendra","GLOBECOM'05. IEEE Global Telecommunications Conference, 2005. 1, 5 pp.",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4919443374132002681,3,2005
Gathercast with Active Networks,"Y He, CS Raghavendra, S Berson",Proceedings of Fourth Annual International Workshop on Active Middleware …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16838808177681632346,3,2002
Run-Time adaptation with resource Co-Allocation for Grid environments,"AH Alhusaini, CS Raghavendra, VK Prasanna",Proceedings of the 15th International Parallel & Distributed Processing …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=10785492435803135302,3,2001
Implementation of a pattern-matching approach for identifying algorithmic concepts in scientific FORTRAN programs,"JR Hagemeister, S Bhansali, CS Raghavendra",Proceedings of 3rd International Conference on High Performance Computing …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5326524937758012622,3,1996
Exact solutions to diameter and routing problems in PEC networks,"CS Raghavendra, MA Sridhar","Journal of Parallel and Distributed Computing 34 (2), 202-210",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15445016160867597278,3,1996
On methods to align and access data arrays in parallel computers,"RV Boppana, CS Raghavendra","Journal of Parallel and Distributed Computing 26 (2), 261-269",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16662348715128309817,3,1995
Jitter at an ATM Multiplexer in the presence of correlated traffic,"R Krishnan, J Silvester, CS Raghavendra",Proceedings IPCCC 95,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=1727447739360110673,3,1995
Computing large subcubes in residual hypercubes,"MA Sridhar, CS Raghavendra","Journal of Parallel and Distributed Computing 24 (2), 213-217",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17458654915996311386,3,1995
Load balancing strategies for ray tracing on parallel processors,"TY Lee, CS Raghavendra, JB Nicholas",Proceedings of TENCON'94-1994 IEEE Region 10's 9th Annual International …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17863853386172712388,3,1994
A parallel algorithm for execution of production systems on HMESH architecture,"SB Tien, CS Raghavendra",Proceedings of the 1987 Fall Joint Computer Conference on Exploring …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16002420383621177757,3,1987
A comparative study of a class of double loop network architectures,"CS Raghavendra, JA Silvester","1984 IEEE International Conference on Communications (ICC, 149-152",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=14434451587258488776,3,1984
Efficient Inter-Datacenter Bulk Transfers with Mixed Completion Time Objectives,"M Noormohammadpour, S Kandula, CS Raghavendra, S Rao",arXiv preprint arXiv:1905.01749,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17331191824497774416,2,2019
Large-scale unsupervised deep representation learning for brain structure,"A Jaiswal, D Guo, CS Raghavendra, P Thompson",arXiv preprint arXiv:1805.01049,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4726560937698295835,2,2018
Comparison of flow scheduling policies for mix of regular and deadline traffic in datacenter environments,"M Noormohammadpour, CS Raghavendra",arXiv preprint arXiv:1707.02024,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=14099637368168584325,2,2017
