AuthorID,AuthorName,Count_cited
LX9H-OwAAAAJ,Steven G. Boxer,28097
FVtXBlwAAAAJ,Charbel Farhat,28044
drWR-pAAAAAJ,Maurice Ohayon,28042
GnTlDOoAAAAJ,Paul Kiparsky,27980
HSCO58kAAAAJ,Gary W Cox,27776
SXxEJvMAAAAJ,Daria Mochly-Rosen,27692
CBSDN_0AAAAJ,Robert M. Waymouth,27653
Rv08yEwAAAAJ,Robert M. Waymouth,27641
4arkOLcAAAAJ,Oussama Khatib,27421
zY_J9IQAAAAJ,Geoffrey C. Gurtner,27085
cYS9VE0AAAAJ,Leanne M Williams,27049
1_kJPIEAAAAJ,John C Mitchell,26976
2-JLOBwAAAAJ,Robert Wilson,26863
qRAMJHgAAAAJ,Tobias Meyer,26754
IqlRcK0AAAAJ,Kyung-ha Lee,26659
-afJI14AAAAJ,Jelena Vuckovic,26492
SQzKCuUAAAAJ,Thomas Kenny,26179
ykzKVEYAAAAJ,Barbara Tversky,26157
84BlW84AAAAJ,Daniel Herschlag,26079
-SPDJL0AAAAJ,Jeremy Freese,25995
nDH-AqwAAAAJ,John Ousterhout,25994
wDpjEJsAAAAJ,Michael P Marks,25928
fJiGhkoAAAAJ,Gio Wiederhold,25859
Le4ScQcAAAAJ,Fiorenza Micheli,25824
sT29z7QAAAAJ,Juan G. Santiago,25714
Fw6UtDcAAAAJ,robert koegel,25615
Dap_838AAAAJ,Eve V. Clark,25592
k89RzXQAAAAJ,Aharon Kapitulnik,25529
Ln3_9l4AAAAJ,Ron Kopito,25491
pQWFfUoAAAAJ,Kimford Meador,25411
USvqRHsAAAAJ,Mavis Li,25330
UljUkjMAAAAJ,Patrick J Kehoe,25193
2d7fZrIAAAAJ,K. Christopher Garcia,25165
_YQytKsAAAAJ,James D. Brooks,25096
5XjscEAAAAAJ,Alberto Salleo,25012
Ce4wsyAAAAAJ,Jatinder Singh,24981
diTSv4YAAAAJ,Luis de Lecea,24753
cfZZtosAAAAJ,Charles MC Lee,24647
T2vp1pgAAAAJ,Anshul Kundaje,24595
117h3CAAAAAJ,Stephen B Montgomery,24474
gxFj6bAAAAAJ,Eric T. Kool,24457
otivCBQAAAAJ,Virginia Walbot,24456
L5KmCDMAAAAJ,Crystal Mackall,24355
4sLyr8AAAAAJ,Joseph Romano,24322
6rDezNoAAAAJ,Andreas Acrivos,24247
2GvYDncAAAAJ,Steven W. Allen,24183
NIjcyG0AAAAJ,Quynh-Thu Le,24035
zkhHirIAAAAJ,Michael S. Bernstein,23952
730KLScAAAAJ,Margaret Neale,23890
euq570kAAAAJ,Charles A. Taylor,23858
Kwy5bd0AAAAJ,Philip H. Bucksbaum,23803
EWW74ycAAAAJ,Julie Parsonnet,23798
wwBCqaAAAAAJ,Sanjiva Lele,23742
NIFfgHkAAAAJ,Christopher Gardner,23651
C-ZJ4rAAAAAJ,Ann Hsing,23597
UkyUstUAAAAJ,Marcel Fafchamps,23549
VHxOBjYAAAAJ,Stephen Luby,23515
oQsObk0AAAAJ,James Landay,23501
na4_b4kAAAAJ,Itamar Simonson,23393
l8WuQJgAAAAJ,Andrej Karpathy,23247
KUxIcl0AAAAJ,Gordon Xiang Wang,23232
feX1fWAAAAAJ,Li-Jia Li,23186
VFu4kqEAAAAJ,Susanna Loeb,22998
yPD5fZgAAAAJ,Richard S. Lewis,22982
qIg8KFYAAAAJ,Mark Cutkosky,22899
OUO1MbMAAAAJ,Robert Shafer,22781
oQHKS3AAAAAJ,Prinz F,22654
Dx1EblMAAAAJ,Julius Smith,22534
GTmdNU0AAAAJ,Ron Dror,22192
D8O1JNrl--gC,Matthew Bogyo,22163
3yCig6AAAAAJ,Teri E. Klein,22046
2X-jYMcAAAAJ,Francisco Ramirez,22036
5_x13L0AAAAJ,"Abdullah Sulieman Terkawi, MD",22006
0zXEqP4AAAAJ,Walton T Roth,21712
Z0o5RNcAAAAJ,Michael Federle,21655
ztXPci4AAAAJ,Norbert Pelc,21647
q5SugFoAAAAJ,James Ferrell,21567
VGga3R4AAAAJ,J. Michael Harrison,21491
bdKcNjgAAAAJ,Ian Fisher,21420
HMgCDAkAAAAJ,Fendorf,21404
2cPTO-oAAAAJ,Curtis W. Frank,21370
G_9MWCgAAAAJ,Richard Klein,21254
9SmcwR4AAAAJ,Kenneth L Judd,21251
HCT-Ya8AAAAJ,Andrew Hoffman,20976
_eUdGSYAAAAJ,Umran S Inan,20791
tNhsxSYAAAAJ,David M. Studdert,20769
cc4Qi_IAAAAJ,Sachin Katti,20746
87b4fQ0AAAAJ,John Huguenard,20566
2q8b6Y0AAAAJ,Giacomo Vianello,20493
CaHxygEAAAAJ,Paul Giresi,20481
IGyIeMsAAAAJ,Alexander Eckehart Urban,20437
cC3ZcD8AAAAJ,Gary E Swan,20385
G2EJz5kAAAAJ,Christos Kozyrakis,20261
HJWSrNMAAAAJ,Byron Reeves,20005
3vKjkoQAAAAJ,Alex Aiken,19976
5O9IMzgAAAAJ,Norman Sleep,19812
-1fz_MsAAAAJ,Margaret Levi,19745
ywxN9o3_-_cC,Geoffrey L. Cohen,19611
Khy1CnYAAAAJ,Per Enge,19476
RqWRL30AAAAJ,Tomas Leijtens,19371
P5eWdgsAAAAJ,Lucy Shapiro,19356
J4XiHbsAAAAJ,Hai Wang,19329
IzXDyR8AAAAJ,Kunle Olukotun,19271
dmfomKsAAAAJ,Professor Caroline Hoxby,19166
IWdFbTQAAAAJ,Barbara Block,19164
jF3TiMQAAAAJ,paul segall,19120
ZasL8IoAAAAJ,Mehran Sahami,19100
MKXVcVAAAAAJ,Tom Abel,19083
kVzWEmUAAAAJ,Seungjin Whang,19071
7mheIycAAAAJ,Todd J Martinez,18995
AFHKzqgAAAAJ,David D Pollard,18992
HQXEhxAAAAAJ,Nicholas Melosh,18783
BdTpqHQAAAAJ,Shan X. Wang,18737
Zb0am48AAAAJ,Euan Ashley,18691
xnZU8iUAAAAJ,Ronald J. Gilson,18615
XduL3a0AAAAJ,Bruce McCandliss,18562
a9Fr76QAAAAJ,Peter Meaney,18464
WfzyRAUAAAAJ,Harold Pimentel,18409
7mTBiAQAAAAJ,Katherine Ferrara,18397
BsmiE0oAAAAJ,Judith Prochaska,18143
icapTcAAAAAJ,Victor Henderson,18093
nZcNWm0AAAAJ,Khalid Aziz,18037
7c1i5PcAAAAJ,Frank Abild-Pedersen,17870
uOmJL7UAAAAJ,Roger G. Noll,17664
k5e_2OIAAAAJ,Maureen McNichols,17551
20nyWo0AAAAJ,John R. Kirtley,17496
8VueNE4AAAAJ,William L. Ellsworth,17454
P2AY7oEAAAAJ,Robert B. Dunbar,17393
jb7-82MAAAAJ,J. David Powell,17381
