Title,Authors,Conference,Cited_url,Cited_count,Year
Communication terminal and method for communicating data,D Ciullo; T Spyropoulos; B Jechoux,US Patent 9;713;054,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4135013471480499079,2,2017
Under-provisioned backhaul: How capacity and topology impacts user and network-wide performance,N Sapountzis; T Spyropoulos; N Nikaein; U Salim,Eurecom; Biot; France; Tech. Rep. RR-16-311,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4558761636042453739,2,2016
Energy-aware routing protocol for delay tolerant networks,SK Yoon; ZJ Haas; A Vasilakos; Y Zhang; TV Spyropoulos,Delay Tolerant Networks—Protocols and Applications; 69-100,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9076987150355271225,2,2012
Analysis of three dimensions of human relations: mobility; social and communication interactions,T Hossmann; F Legendre; T Spyropoulos,Poster at Applications of Network Theory Conference,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8266147974971389981,2,2011
Efficient QOS aware routing in wireless sensor using six sigma.,S Ramesh; PG Kumar; E Kuiper; S Nadjm-Tehrani; T Spyropoulos; ...,Asian Journal of Scientific Research 6 (4); 592-604,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8695593102256619684,2,2011
No Regret in Cloud Resources Reservation with Violation Guarantees,N Liakopoulos; G Paschos; T Spyropoulos,IEEE INFOCOM 2019-IEEE Conference on Computer Communications; 1747-1755,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=14711994744609616488,1,2019
User Association for Ultra Dense Networks with QoS Guarantees,N Liakopoulos; G Paschos; T Spyropoulos,2018 IEEE Global Communications Conference (GLOBECOM); 1-7,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17050870932517490931,1,2018
Model-driven artificial intelligence for online network optimization,L Vigneri; N Liakopoulos; GS Paschos; S Vassilaras; A Destounis; ...,arXiv preprint arXiv:1805.12090,"https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15823737127564024972,14310867647829416818",1,2018
Optimal downlink-uplink user association in HetNets with traffic differentiation,N Sapountzis; T Spyropoulos; N Nikaein; U Salim,Tech. Report RR-15-301; Eurecom,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15725272378316224463,1,2015
Stay or switch? Analysis and comparison of interweave and underlay spectrum access in cognitive radio networks,F Mehmeti; T Spyropoulos,IEEE Transactions on Mobile Computing,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=14075822162435581744,1,2014
Scaling traffic classification through spatio-temporal sampling,D Schatzmann; W Mühlbauer; T Spyropoulos; K Salamatian,Under Submission,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=10052433818938661905,1,2013
Delay‐Tolerant Networking: Routing Taxonomy and Design,TV Spyropoulos; RNB Rais; T Turletti; K Obraczka; A Vasilakos,Encyclopedia of Wireless and Mobile Communications-Three Volume Set; 431-449,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2829244843042695119,1,2012
Self-Organizing Systems: Third International Workshop; IWSOS 2008; Vienna; Austria; December 10-12; 2008,KA Hummel; JPG Sterbenz,Springer,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16281153926674813256,1,2008
MAC-Physical Layer Interaction for Efficient Communication in Wireless Networks,T Spyropoulos; CS Raghavendra,Invited Paper for PIMRC,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6995273473932603440,1,2005
Robust Optimization Framework for Proactive User Association in UDNs: A Data-Driven Approach,N Liakopoulos; GS Paschos; T Spyropoulos,IEEE/ACM Transactions on Networking 27 (4); 1683-1695,,,2019
Towards QoS-Aware Recommendations,P Sermpezis; S Kastanakis; JI Pinheiro; F Assis; D Menasché; ...,arXiv preprint arXiv:1907.06392,,,2019
Recomendação de Conteúdo e QoE: Um Experimento Quantificando o Papel da QoS nas Preferências por Vídeos,F Assis; MS Nogueira; DS Menasché; JI Pinheiro; P Sermpezis; ...,Anais do XVIII Workshop em Desempenho de Sistemas Computacionais e de …,,,2019
Sizing Up User Traffic: Flow-based Mobile Data Offloading Over WiFi,D Ciullo; T Spyropoulos; N Nikaein; B Jechoux; G Sarantidis,"2019 IEEE 20th International Symposium on"" A World of Wireless; Mobile and …",,,2019
The Order of Things: Position-Aware Network-friendly Recommendations in Long Viewing Sessions,T Giannakas; T Spyropoulos; P Sermpezis,arXiv preprint arXiv:1905.04947,,,2019
A Two-Step Chunk-Based Algorithm for Offloading Streaming Traffic through a Vehicular Cloud,L Vigneri; T Spyropoulos; C Barakat,2018 IEEE 19th International Workshop on Signal Processing Advances in …,,,2018
HoP: Hierarchize then Optimize: A distributed framework for User Association and Flexible TDD Allocation for Access and Backhaul Networks,N Sapountzis; T Spyropoulos; N Nikaein; U Salim,,,,2016
User-association and resource allocation in future TDD access and backhaul networks,N Sapountzis; T Spyropoulos; N Nikaein; U Salim,,,,2016
COLOMBO Deliverable 1.3: Decentralized Monitoring based on Low Penetration Traffic Information,J Härri; S Gashaw; L Foschini; P Bellavista; W Niebel; A Leich; ...,,,,2015
COLOMBO Deliverable 1.2: Data Collection and Dissemination for Low Penetration Systems,J Härri; T Spyropoulos; L Foschini; P Bellavista; D Krajzewicz; R Blokpoel; ...,,,,2015
COLOMBO Deliverable 1.1: Scenario Specifications and Required Modifications to Simulation Tools,D Krajzewicz; R Blokpoel; W Niebel; J Härri; L Foschini; P Bellavista; ...,,,,2014
Effects of Content Popularity in the Performance of Content-Centric Opportunistic Networking: Analytical Approach and Applications,P Sermpezis; T Spyropoulos,,,,2014
Transport point à multipoints dans des réseaux sans fil multi-bandes,H Khalifé; C Vania; J Leguay; T Spyropoulos,,,,2013
Content Management in Mobile Wireless Networks,C Barakat; T Spyropoulos; T Turletti,,,,2012
From Wireless Contacts to Community Structures,T Hossmann; T Spyropoulos; F Legendre,NetMob 2010 Workshop on the Analysis of Mobile Phone Networks MIT; Cambridge …,,,2010
Self-Organizing Systems: 4th IFIP TC 6 International Workshop; IWSOS 2009; Zurich; Switzerland; December 9-11; 2009; Proceedings,T Spyropoulos; KA Hummel,Springer,,,2009
Self-organizing systems: 4th IFIP TC 6 international workshop: proceedings,T Spyropoulos; KA Hummel,Lecture Notes in Computer Science 5918,,,2009
Self-Organizing Systems-Forth IFIP TC 6 International Workshop on Self-Organizing Systems,T Spyropoulos; KA Hummel,Springer,,,2009
Efficient QOS aware routing in wireless sensor using six sigma.,S Ramesh; PG Kumar; D Cokuslu; K Erciyes; T Spyropoulos; K Psounis; ...,Journal of Artificial Intelligence 6 (2); pp: 1-5,,,2008
Efficient media access and routing in wireless and delay tolerantnetworks,T Spyropoulos,University of Southern California,,,2006
Delay management in delay-tolerant networks.,S Chen; M Yin; A Vahdat; D Becker; A Keranen; J Ott; A Balasubramanian; ...,Information Technology Journal 12 (22); pp: 373-384,,,2000
Project Title: Methodology approach to Machine Learning-based Cognitive Network & Management in Virtualized Multi-Tenant 5G Networks,N Nikaein; X Vasilakos; A Spyropoulos,,,,
Project Title: Cell breathing for 5G Heterogeneous Wireless Networking environments,X Vasilakos; N Nikaein; A Spyropoulos,,,,
Delay Tolerant,TV Spyropoulos,,,,
Project Title: Machine Learning‐based Virtualized 5G Resource Allocation,X Vasilakos; A Spyropoulos; N Nikaein,,,,
Using public transportation as a DTN backbone,L den Hartog,,,,
Hierarchical Optimization of User Association and Flexible TDD Allocation for Access and Backhaul Networks,N Sapountzis; T Spyropoulos; N Nikaein; U Salim,,,,
S1: Avoiding Interference & Security/Privacy,F Maturi; F Gringoli; RL Cigno; M Segata; JH Ziegeldorf; M Henze; ...,,,,
Vehicles as a Mobile Cloud: Leveraging Mobility for Content Storage and Dissemination,T Spyropoulos; C Barakat,,,,
LANMAN 2008 Committees,S Gjessing; V Dobrota; M Papadopouli; B Bhattacharjee; A Bianco; ...,,,,
2008 16th IEEE Workshop on Local and Metropolitan Area Networks,S Bhattacharjee; A Bianco; E Biersack; T Braun; A Cabellos-Aparicio; ...,,,,
Efficient Media Access Using Adaptive Array Antennas,T Spyropoulos; CS Raghavendra,,,,
Synthetic Trace and Simulation Settings for the TVC Model,W Hsu; T Spyropoulos; K Psounis; A Helmy,,,,
The Internet Mail System from the Network’s Perspective,D Schatzmann; W Muhlbauer; T Spyropoulos; X Dimitropoulos; B Plattner,,,,
Linking to the previous lectures and ATCN…,B Plattner; M May; M Karaliopoulos; U Fiedler; T Spyropoulos,,,,
