Title,Authors,Conference,Cited_url,Cited_count,Year
Impact of packetization and scheduling on C-RAN fronthaul performance,CY Chang; N Nikaein; T Spyropoulos,2016 IEEE Global Communications Conference (GLOBECOM); 1-7,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=10333073136839149186,72,2016
SCAMPI: Service platform for social aware mobile and pervasive computing,M Pitkänen; T Kärkkäinen; J Ott; M Conti; A Passarella; S Giordano; ...,Proceedings of the first edition of the MCC workshop on Mobile cloud …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5775799314784765563,72,2012
LTE/LTE-A discontinuous reception modeling for machine type communications,K Zhou; N Nikaein; T Spyropoulos,IEEE Wireless Communications Letters 2 (1); 102-105,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=7566616573702630982,68,2012
Asympotic capacity bounds for ad-hoc networks revisited: the directional and smart antenna cases,A Spyropoulos; CS Raghavendra,GLOBECOM'03. IEEE Global Telecommunications Conference (IEEE Cat. No …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12533421999357682037,66,2003
An analytical study of fundamental mobility properties for encounter-based protocols.,T Spyropoulos; A Jindal; K Psounis,IJAACS 1 (1); 4-40,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13935228143382175552,64,2008
An analysis of the information spreading delay in heterogeneous mobility DTNs,A Picu; T Spyropoulos; T Hossmann,2012 IEEE International Symposium on a World of Wireless; Mobile and …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17658135178287262951,60,2012
Routing metrics for wireless mesh networks,G Parissidis; M Karaliopoulos; R Baumann; T Spyropoulos; B Plattner,Guide to wireless mesh networks; 199-230,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3993247277936044016,59,2009
Performance analysis of “on-the-spot” mobile data offloading,F Mehmeti; T Spyropoulos,2013 IEEE Global Communications Conference (GLOBECOM); 1577-1583,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6704698145329804015,57,2013
Digging into HTTPS: flow-based classification of webmail traffic,D Schatzmann; W Mühlbauer; T Spyropoulos; X Dimitropoulos,Proceedings of the 10th ACM SIGCOMM conference on Internet measurement; 322-327,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16613275305690588752,55,2010
Interference-aware routing in wireless multihop networks,G Parissidis; M Karaliopoulos; T Spyropoulos; B Plattner,IEEE Transactions on Mobile Computing 10 (5); 716-733,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4113919239205085316,54,2010
DTN-meteo: Forecasting the performance of DTN protocols under heterogeneous mobility,A Picu; T Spyropoulos,IEEE/ACM Transactions on Networking 23 (2); 587-602,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4170197814052118117,49,2014
From contacts to graphs: Pitfalls in using complex network analysis for dtn routing,T Hossmann; F Legendre; T Spyropoulos,IEEE INFOCOM Workshops 2009; 1-6,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16708568161930256744,46,2009
Performance analysis of mobile data offloading in heterogeneous networks,F Mehmeti; T Spyropoulos,IEEE Transactions on mobile computing 16 (2); 482-497,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3010830711461950831,45,2016
Collection and analysis of multi-dimensional network data for opportunistic networking research,T Hossmann; G Nomikos; T Spyropoulos; F Legendre,Computer Communications 35 (13); 1613-1625,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=1973450623852177804,44,2012
Multiple-copy routing in intermittently connected mobile networks,K Psounis; CS Raghavendra,Technical report CENG-2004-12; USC,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16925855867089019951,44,2004
Mobitrade: trading content in disruption tolerant networks,A Krifa; C Barakat; T Spyropoulos,ACM CHANTS 201 (1),"https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=10867420130646482391,156965856488855219",40,2011
FlexCRAN: A flexible functional split framework over ethernet fronthaul in Cloud-RAN,CY Chang; N Nikaein; R Knopp; T Spyropoulos; SS Kumar,2017 IEEE International Conference on Communications (ICC); 1-7,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12294691849024232297,37,2017
Utility-based message replication for intermittently connected heterogeneous networks,T Spyropoulos; T Turletti; K Obraczka,in Proceedings of IEEE WoWMoM Workshop on Autonomic and Opportunistic …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12722644951143312699,37,2007
Understanding the effects of social selfishness on the performance of heterogeneous opportunistic networks,P Sermpezis; T Spyropoulos,Computer Communications 48; 71-83,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12812925195152111832,35,2014
Optimal downlink and uplink user association in backhaul-limited HetNets,N Sapountzis; T Spyropoulos; N Nikaein; U Salim,IEEE INFOCOM 2016-The 35th Annual IEEE International Conference on Computer …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3836639586152230387,31,2016
MEC architectural implications for LTE/LTE-A networks,CY Chang; K Alexandris; N Nikaein; K Katsalis; T Spyropoulos,Proceedings of the Workshop on Mobility in the Evolving Internet …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2762610083391962304,29,2016
Inferring spammers in the network core,D Schatzmann; M Burkhart; T Spyropoulos,International Conference on Passive and Active Network Measurement; 229-238,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=18281924780787132925,29,2009
Cedo: Content-centric dissemination algorithm for delay-tolerant networks,F Neves dos Santos; B Ertl; C Barakat; T Spyropoulos; T Turletti,Proceedings of the 16th ACM international conference on Modeling; analysis …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9475930970751907011,28,2013
COLOMBO: Investigating the Potential of V2X for Traffic Management Purposes assuming low penetration Rates,D Krajzewicz; M Heinrich; M Milano; P Bellavista; T Stützle; J Härri; ...,ITS Europe,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13026620513436350824,27,2013
Offload (only) the right jobs: Robust offloading using the Markov decision processes,E Hyytiä; T Spyropoulos; J Ott,2015 IEEE 16th International Symposium on A World of Wireless; Mobile and …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12317200014214528346,26,2015
Storage on wheels: Offloading popular contents through a vehicular cloud,L Vigneri; T Spyropoulos; C Barakat,2016 IEEE 17th International Symposium on A World of Wireless; Mobile and …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2735262752399020029,25,2016
Distributed stochastic optimization in opportunistic networks: the case of optimal relay selection,A Picu; T Spyropoulos,Proceedings of the 5th ACM workshop on Challenged networks; 21-28,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5359946117021300490,25,2010
