id,name,affiliation,pubs_count,est_cits,h_index,rank,ranked_by,in_field_pubs_count,in_field_est_cits,in_field_h_index
136859070,Witold Pedrycz,University of Alberta,1589,60235,116,1,pubs_count,782,29421,88
2141382980,Francisco Herrera,University of Granada,930,77039,139,2,pubs_count,591,55190,115
161269817,Yoshua Bengio,Université de Montréal,668,267611,155,3,pubs_count,540,181043,129
2125104194,Philip S. Yu,University of Illinois at Chicago,1680,107659,155,4,pubs_count,527,36019,84
2104129307,Dacheng Tao,University of Sydney,993,43859,110,5,pubs_count,484,20423,78
2097529606,Mengjie Zhang,Victoria University of Wellington,613,8589,39,6,pubs_count,406,6448,34
2345075623,Ajith Abraham,Technical University of Ostrava,1053,30267,85,7,pubs_count,395,14439,59
2106268727,Xin Yao,Southern University and A&M College,1008,50650,101,8,pubs_count,394,35674,82
2286237009,Zhi-Hua Zhou,Nanjing University,527,45717,100,9,pubs_count,386,38943,85
2166558591,Licheng Jiao,Xidian University,1472,20461,65,10,pubs_count,379,8642,49
297432538,Bernhard Schölkopf,Max Planck Society,950,138185,134,11,pubs_count,364,87288,98
2109031554,Qiang Yang,Harbin Institute of Technology,993,55417,107,12,pubs_count,364,35460,77
2176619569,Oscar Castillo,AmeriCorps VISTA,896,16233,73,13,pubs_count,362,10528,59
676270904,Hisao Ishibuchi,Southern University and A&M College,634,25252,73,14,pubs_count,360,16789,56
351197510,Eric P. Xing,Carnegie Mellon University,529,26925,78,15,pubs_count,359,18383,64
2170452912,Patricia Melin,Autonomous University of Baja California,741,13617,66,16,pubs_count,358,9952,56
2121939561,Jiawei Han,University of Illinois at Urbana–Champaign,1063,174743,170,17,pubs_count,347,43896,98
2130456104,Masashi Sugiyama,University of Tokyo,593,12555,54,18,pubs_count,331,6825,34
231105818,Ronald R. Yager,Iona College,890,70852,120,19,pubs_count,326,16611,69
2287563723,Sung-Bae Cho,Yonsei University,588,9820,51,20,pubs_count,325,6521,34
2123991549,Tzung-Pei Hong,National University of Kaohsiung,647,9445,53,21,pubs_count,323,6176,36
2082615088,Henri Prade,Paul Sabatier University,783,66765,116,22,pubs_count,315,16968,65
2107070739,Xuelong Li,Northwestern Polytechnical University,822,34452,97,23,pubs_count,307,14003,68
2134858009,Barbara Hammer,Bielefeld University,431,6283,35,24,pubs_count,306,5035,30
720605457,Nikola Kasabov,Auckland University of Technology,575,14246,61,25,pubs_count,296,11581,51
