id,name,affiliation,pubs_count,est_cits,h_index,rank,ranked_by,in_field_pubs_count,in_field_est_cits,in_field_h_index
79893321,Klaus Krippendorff,University of Pennsylvania,143,80041,33,72,est_cits,5,37531,4
73615348,Ron Kohavi,Microsoft,96,42522,55,73,est_cits,37,37284,32
2248165042,Judea Pearl,"University of California, Los Angeles",397,90442,91,74,est_cits,151,37271,48
2115970221,Guang-Bin Huang,Nanyang Technological University,205,40213,65,75,est_cits,141,36930,59
2021640924,David Heckerman,Microsoft,426,67363,116,76,est_cits,169,36217,59
2125104194,Philip S. Yu,University of Illinois at Chicago,1680,107659,155,77,est_cits,527,36019,84
2106268727,Xin Yao,Southern University and A&M College,1008,50650,101,78,est_cits,394,35674,82
2063782688,Isabelle Guyon,Université Paris-Saclay,250,53497,61,79,est_cits,122,35657,35
617670330,Zoubin Ghahramani,University of Cambridge,406,54200,101,80,est_cits,254,35645,74
2109031554,Qiang Yang,Harbin Institute of Technology,993,55417,107,81,est_cits,364,35460,77
2022840042,Vincent Vanhoucke,Google,62,51717,36,82,est_cits,18,34013,16
2167404190,Daphne Koller,Stanford University,318,68564,128,83,est_cits,159,33917,80
2215287472,John Shawe-Taylor,University College London,504,59843,70,84,est_cits,220,33867,51
2012736320,Klaus-Robert Müller,Technical University of Berlin,799,70129,112,85,est_cits,263,33672,74
292626543,Tomas Mikolov,Facebook,58,54976,41,86,est_cits,41,33438,25
2102002796,Yangqing Jia,Facebook,50,43761,30,87,est_cits,36,33316,23
2462121670,Kyunghyun Cho,New York University,225,43583,58,88,est_cits,150,33152,44
1994222016,Greg S. Corrado,Google,62,44929,28,89,est_cits,22,32968,16
1919135125,Hans-Peter Kriegel,Ludwig Maximilian University of Munich,439,66861,94,90,est_cits,107,32958,47
1976640904,John Lafferty,Yale University,152,50143,74,91,est_cits,62,32506,39
2169012919,Pedro Domingos,University of Washington,195,41822,80,92,est_cits,142,32414,62
2569648598,J. R. Quinlan,University of Sydney,17,33390,15,93,est_cits,16,32124,13
699740264,Robert P. W. Duin,Delft University of Technology,316,48340,70,94,est_cits,118,31762,37
2116712232,Alex Graves,Google,86,47517,60,95,est_cits,62,31754,41
2292250447,Yoram Singer,Google,86,33564,51,96,est_cits,76,31642,40
2079978182,Nir Friedman,Hebrew University of Jerusalem,225,66316,92,97,est_cits,99,31349,50
2108025540,Pietro Perona,California Institute of Technology,378,86685,98,98,est_cits,103,31130,39
1964982643,Richard Socher,Salesforce.com,128,49899,47,99,est_cits,99,31110,40
160031478,Thomas G. Dietterich,Oregon State University,251,36911,69,100,est_cits,173,30364,57
