AuthorID,AuthorName,Count_cited
WJPjaDgAAAAJ,David Gesbert,24042
YMfR1SIAAAAJ,Ernst Biersack,11302
WVLr6NYAAAAJ,Thrasyvoulos Spyropoulos,11061
QG9iXtUAAAAJ,Marios Kountouris,9314
KufrHlgAAAAJ,Refik Molva,8832
xV6lEzEAAAAJ,Dirk Slock,8650
jE-78dsAAAAJ,Raymond Knopp,7260
VGK3IyUAAAAJ,Jean-luc Dugelay,6770
ACeJK4AAAAAJ,Christian Bonnet,6571
ZhQ0CxsAAAAJ,Davide Balzarotti,6303
giEvvDUAAAAJ,Alexandre Gerber,6102
V62JMEYAAAAJ,Marc Dacier,5533
mlx1eCgAAAAJ,Pietro Michiardi,5435
U6YFwO4AAAAJ,Adlen KSENTINI,5134
QSAclH8AAAAJ,Prof. Dr. Jérôme Härri,4889
-_Ch8uoAAAAJ,Nicholas Evans,4480
1BxhcigAAAAJ,Raphaël Troncy,4449
uNoaxDIAAAAJ,Navid Nikaein,3902
GhCcwsoAAAAJ,Bernard Merialdo,3561
2nKaJagAAAAJ,Aurélien Francillon,3170
YwoezYX7JVgJ,Paolo Papotti,2273
Z7KKIlsAAAAJ,Yingbo Li,2257
KdPSGmAAAAAJ,Benoit Huet,2130
VZAKIt4AAAAJ,Petros Elia,2128
ILUeAloAAAAJ,Maurizio Filippone,2124
VD4Y0rRTK24C,Soumya Kanti Datta,2019
v9-OixsAAAAJ,Yanick Fratantonio,1978
R1R9668AAAAJ,Florian Kaltenberger,1676
e2aPEm0AAAAJ,Haifan Yin,1217
m5JUU1UAAAAJ,Massimiliano Todisco,1215
dD1QPWQAAAAJ,Vivek Tyagi,1183
0SaJdxQAAAAJ,Maria A. Zuluaga,989
2HtOK_IAAAAJ,Davide Canali,923
mtZFRlwAAAAJ,Daniele Venzano,791
zRm_e1kAAAAJ,Simon BOZONNET,784
fhZZes4AAAAJ,Jonas Zaddach,645
3GMfJykAAAAJ,Rui Min,614
ckJGoY4AAAAJ,Frederic Montagut,550
tJSbIrMAAAAJ,Paul de Kerret,516
9HWunwcAAAAJ,ahmad bazzi,487
-BFEdeMAAAAJ,xueliang liu,478
47beUDAAAAAJ,Raja Appuswamy,452
1Ku9GUkAAAAJ,Chiara Galdi,433
yRpnAvAAAAAJ,Francesco Mani,423
WIIJqx0AAAAJ,Sebastian Poeplau,283
1ZHaZhsAAAAJ,Chia-Yu Chang,263
xRXZPg4AAAAJ,Kaijie Zhou,261
JXR2glQAAAAJ,Romain FAVRAUD,230
E1w-IdkAAAAJ,Erhan YILMAZ,215
BSPm51gAAAAJ,Adrien Daniel,215
XSnZzV8AAAAJ,Giuseppe Reina,214
YY37C-4AAAAJ,José Luis Redondo García,214
UjiqQ1UAAAAJ,Antonio Barbuzzi,208
h6lS64cAAAAJ,Marco Milanesio,185
VP4UdWcAAAAJ,Pasquale Puzio,177
hnUI9G8AAAAJ,Jelena Isacenkova,172
7QWkt_QAAAAJ,Julien Plu,165
PxspKlcAAAAJ,Daniele Battaglino,141
BDkGDIIAAAAJ,Hui Zhao (赵辉),140
VvzWThIAAAAJ,Moritz Eckert,140
1HLQsxkAAAAJ,Mario Pastorelli,139
gJ-kXmkAAAAJ,Ahmad Assaf,137
-ZLH1FIAAAAJ,Andreas Nautsch,137
MysANKQAAAAJ,Xuran Zhao,136
fd7HrGcAAAAJ,Riadh Ghaddab,130
gj9sKjYAAAAJ,Maha Bouaziz,123
JaNIQWIAAAAJ,Türker Yılmaz,117
l7rZgrcAAAAJ,Natacha Ruchaud,114
W61Kw-4AAAAJ,Xiaohu Wu,108
JQg2trcAAAAJ,Yohan Lejosne,106
snxR71gAAAAJ,NIAZ Usman Farrokh,103
vLQ0aBkAAAAJ,Mathilde Sahuguet,102
9G-g30IAAAAJ,Motonobu Kanagawa,101
evC4LDAAAAAJ,bilel ben Romdhanne,97
W8LhW0gAAAAJ,Omid Esrafilian,97
PtSF54AAAAAJ,rajeev gangula,95
aY3qb2cAAAAJ,Shengyun Liu,95
r2itY4IAAAAJ,George Arvanitakis,82
EoKA5NQAAAAJ,Davide Quarta,81
4iYOUe4AAAAJ,Xiwen Jiang,81
LAqAkNcAAAAJ,Laurent Gallo,80
OjjaF0wAAAAJ,Jaeyoung Song,79
3RZzyPwAAAAJ,Stefano Crosta,78
0HXD1QsAAAAJ,Anta Huang,78
JyFMAG0AAAAJ,Rohan Kharade,74
SGd2-t4AAAAJ,Berksan Serbetci,65
4PaN88cAAAAJ,Pasquale Lisena,57
5EEZXMoAAAAJ,Predrag Tasevski,57
fJjdWbAAAAAJ,Kalyana Gopala,55
zb8Fo60AAAAJ,Fabio Pagani,52
RB-PEqsAAAAJ,Cédric Van Rompay,52
TZXbNeQAAAAJ,Harald Bayerlein,52
Sz9HNoUAAAAJ,Selvam PD,49
IuSZwWMAAAAJ,Merve Sahin,48
S-JHJOUAAAAJ,Viet-Phi HUYNH,48
p4VYTQMAAAAJ,Giovanni Soldi,44
qVj5AK0AAAAJ,Robin Thomas,44
DrU1WG0AAAAJ,Onur Catakoglu,41
SBWIja0AAAAJ,Christo K Thomas,40
OtHl_kQAAAAJ,Flavio Maschietti,35
iy_3Ak0AAAAJ,zeineb zhioua,33
_b6dDHMAAAAJ,Orhan Ermiş,30
Y4ivxU4AAAAJ,Emanuele Cozzi,30
uWkXzXMAAAAJ,Jose Patino,29
id9WAs8AAAAJ,Giovanni Camurati,29
FO8dOb4AAAAJ,Ehsan Tohidi,27
IkOm4ZYAAAAJ,valeria chiesa,26
AN3DFKYAAAAJ,Francesco Pace,25
Mz6Pa24AAAAJ,Quoc-Minh Bui,24
