AuthorID,AuthorName,Count_cited
XnuKb_ujs1MC,Haijun Yang,82339
2nZjnKoAAAAJ,Xiaofeng Wang,74285
zNGYoA8AAAAJ,Yu Zhang,63335
LTl05m0AAAAJ,Zhen Hu,61548
U-hpAbcAAAAJ,Jing Zhu,59916
zHnFlEsAAAAJ,GQ Chen（陈国强）,56072
qG7UQVcAAAAJ,Guo-Qiang (George) Chen,46808
4LV7HnAAAAAJ,LIANG WANG,45724
BcfhJ-4AAAAJ,Jinghong Li,45473
aedLOyoAAAAJ,Yigong Shi,45129
H5msNWsAAAAJ,Fei Wei,44476
RekkftIAAAAJ,Li Liang  DAE-THU,43181
WYyB7wYAAAAJ,yanluan lin,37855
qkcc0OYAAAAJ,Qiang Zhang,36538
0Y3HEBUAAAAJ,Yimin Liu,33268
x-G741IAAAAJ,Peng Gong,31795
0-SZSzgAAAAJ,Lin Liu (刘璘),31370
IBF9kPwAAAAJ,Junwei Cao,28155
1Ah2Q0cAAAAJ,Zhang Jun,27579
66fXQKgAAAAJ,Zhihui Du,27383
T4e_ARMAAAAJ,Jian Yang,26968
nlpr-DMAAAAJ,Qiang Gao,26551
mWS1pY4AAAAJ,Minlie Huang,25924
JUtMTT0AAAAJ,Hongwei Zhu,24399
f2p7pEkAAAAJ,Yang Xu,24027
rlsV8SUAAAAJ,Quan Zhou,22403
PAxVoA0AAAAJ,Qiang Zhang,22190
qKvXbEoAAAAJ,Jun LI (李 隽),21134
sXJuK9MAAAAJ,Baoding Liu,20889
xwR1hoEAAAAJ,Boyang Xu,20792
5mUoFN0AAAAJ,Jianqiang Wang(王建强),19933
lC7bVMwAAAAJ,Ling Wang,19302
JGWdlSgAAAAJ,余刚,18220
MLEzuyAAAAAJ,Wenhui Duan,18162
61DNIX0AAAAJ,Hui Wu,18041
68qp0DwAAAAJ,Li Zhang,17642
7t2jzpgAAAAJ,Wenwu Zhu,17535
-goooIUAAAAJ,Gui Lu Long,17395
uoR2PUkAAAAJ,Baohua Li,17320
i6ziL8oAAAAJ,Yu-Jin ZHANG 章毓晋,17282
4h-LHsYAAAAJ,Lin-Hai Han,16638
2qu2fYMAAAAJ,Boming Zhang,16630
bPE4qTYAAAAJ,Yule Liu       劉玉樂,16262
GL9M37YAAAAJ,Changshui Zhang,16012
Hpg2NCcAAAAJ,Xi-Qiao Feng (冯西桥),15076
DmtqZ5oAAAAJ,Jianhua Feng,14932
CAlO2UsAAAAJ,Junhua Li,14834
npBqkNAAAAAJ,Wang Xiaoge,14818
AgT4P6gAAAAJ,Gang Yu,14739
2XzTffYAAAAJ,Zheng Ouyang,14618
_1f_6TEAAAAJ,Jianhong XU(徐建鸿）,14339
n1zDCkQAAAAJ,Tang Jie,14296
wrtnAbEAAAAJ,Zhi John Lu,13966
CHAajY4AAAAJ,Qionghai  Dai,13956
VfBaiG8AAAAJ,Jianyong Wang,13871
3vNOg44AAAAJ,wang shuxiao,13745
tvJSBWUAAAAJ,Dabo Guan (关大博),13543
N_Z0SDMAAAAJ,Chongqing Kang,13390
mK01ms0AAAAJ,Chenyi Yi,13303
rgD-ISsAAAAJ,Yongxin Wang,12753
pXFyClkAAAAJ,Li Jinhui (李金惠),12481
LDb4tb0AAAAJ,Shi-Min Hu,12295
hpAXtBEAAAAJ,Yinping Zhang,12245
tDuPo6MAAAAJ,Bilu Liu (刘碧录),12054
UW8q-dMAAAAJ,HongYing HU,11836
M0qlf9UAAAAJ,Jin chen,11698
5kidFf8AAAAJ,Xin-Bing Cheng,11524
7zupzg0AAAAJ,Fan Yang,11144
MiovcboAAAAJ,Jianmin Wang,10854
SoM0e_AAAAAJ,Jun Huang,10848
2rZz2dgAAAAJ,Bi-Jie Li,10823
cqiZ2wkAAAAJ,Jiawei Wang,10816
LBDHkJoAAAAJ,Xiaoyan Zhang,10729
