AuthorID,AuthorName,Count_cited
ycwS45YAAAAJ,Liu Shuai,96800
BMkV-YoAAAAJ,Bernhard Otto Boehm,79347
udR2CyAAAAAJ,Xiong Wen (David) LOU,77526
36r-WAEAAAAJ,Sam Zhang,71607
6N1nl6MAAAAJ,Paul Tapponnier,50356
RyUTIccAAAAJ,Huajian Gao,44908
NEdtXTAAAAAJ,Li Mingjiang,41794
LhSqQCIAAAAJ,Guang-Bin Huang,39876
yZNzBU0AAAAJ,Dr PN Suganthan,39449
Gvwq0yMAAAAJ,Hai Zhu 朱海,36029
Fmrv3J8AAAAJ,Lihua Xie,33778
1LX7pOcAAAAJ,"Li, Kwok Hung",33228
gS3VKDYAAAAJ,Peng CHEN,33208
k0HpMS4AAAAJ,Subodh Mhaisalkar,31779
HMtRbrkAAAAJ,Stephan C. Schuster,29950
T8sVhLMAAAAJ,Dusit (Tao) Niyato,27258
B1PV_2YAAAAJ,Philip Ingham,26824
SJHsKqkAAAAJ,Qingyu Yan,25476
1Xe3jo4AAAAJ,Hong Jin Fan (范红金),25379
tej8f-4AAAAJ,Zheng Liu,24213
s33zx3UAAAAJ,Shane A. Snyder,23635
ZoOsOCYAAAAJ,Soon Ang,23037
xhRQTZIAAAAJ,Madhavi Srinivasan,22338
_y8mNq4AAAAJ,Xiaodong Chen（陈晓东）,21969
cDSykPsAAAAJ,Xin Wang,21653
uo0SafIAAAAJ,Yi Zhou,20922
udVL-OkAAAAJ,BVR Chowdari,20127
DJsVBYsAAAAJ,D. Tang,19953
UD8dRdYAAAAJ,Tze-Chien SUM (岑子健),19623
HLVbYhgAAAAJ,George Chandy,19154
p4g81AcAAAAJ,Mary B. Chan-Park,19056
piDRqbMAAAAJ,Nripan Mathews,18916
Q06OBT4AAAAJ,KA Khor,18846
vGiaVjkAAAAJ,qichun zhang,18678
tcfL96cAAAAJ,Professor Harianto Rahardjo,18167
h1jwpbgAAAAJ,Qing Zhang,18018
oCvyKVMAAAAJ,Christian Kloc,17705
h4EI3M4AAAAJ,Pooi See Lee,17448
naivdVcAAAAJ,Boris Luk`yanchuk,17120
u258_9cAAAAJ,Josip Car,16666
559LF80AAAAJ,Chen Change Loy,16367
F4EkvTUAAAAJ,Bin Liu,15899
2j7OoyAAAAAJ,Qihua Xiong,15368
D_S41X4AAAAJ,Weisi Lin,15226
JxTQyrEAAAAJ,"CHEN Zhong (陈忠), Singapore",14644
F9mDu60AAAAJ,Junling WANG,14290
P6WcnfkAAAAJ,Sinno Jialin Pan,14011
D6fpe34AAAAJ,Subbu Venkatraman,13876
9QW1LYAAAAAJ,EYK Ng,13855
lH6Vf_YAAAAJ,Rong Xu,13709
D3crxPkAAAAJ,Upadrasta Ramamurty,13462
ilSYpW0AAAAJ,Erik Cambria,13158
eBpYUn4AAAAJ,Chengzheng Sun,13089
PSwg2v8AAAAJ,Zhichuan J. Xu,12844
eCzNoSEAAAAJ,Dr. Wang,12763
gxiNEPsAAAAJ,Ken-Tye Yong,12531
NZNN3WIAAAAJ,Danwei Wang,12372
hptnO7gAAAAJ,Kok-Yee Ng,12346
Hl-g-gMAAAAJ,Xizi Chen,12044
6kmA2agAAAAJ,Denis Fichou,12012
O1OjZkYAAAAJ,Jun-Koo Kang,11904
Av2zXIIAAAAJ,Chen Xu,11857
HclQoTsAAAAJ,Scott Rice,11841
y6lw9YsAAAAJ,Hongwei Duan,11835
DEJscmgAAAAJ,Anh Tuan Phan,11763
9WPWHiEAAAAJ,Jagath C Rajapakse,11715
c-Ge0GoAAAAJ,Tim White,11643
f6uGyrEAAAAJ,Benjamin P. Horton,11553
