id,name,affiliation,sampled_type,pubs_count,est_cits,journal_pubs_count,conference_pubs_count,nontech_pubs_count,journal_est_cits,conference_est_cits,nontech_est_cits,org_h_index,tech_h_index
2715656470,G. H. Moody,University of Edinburgh,europe_randoms,1,59,1,0,0,59,0,0,1,1
2945812053,Konstantin E. Voevodskii,Saint Petersburg State University,europe_randoms,2,0,0,0,0,0,0,0,0,0
2792485426,SZ Kamupira,University of Cambridge,europe_randoms,1,0,1,0,0,0,0,0,0,0
2657599091,Juliette S. Behra,University of Leeds,europe_randoms,3,3,1,0,0,0,0,0,1,1
2998712646,A S Naumov,Moscow State University,europe_randoms,1,0,1,0,0,0,0,0,0,0
2987008658,E. Nygard,University of Oslo,europe_randoms,1,79,1,0,0,79,0,0,1,1
2655371319,N. Bingefors,Uppsala University,europe_randoms,1,23,1,0,0,23,0,0,1,1
2114796926,H. Schnabl,Ludwig Maximilian University of Munich,europe_randoms,9,368,9,0,0,368,0,0,8,8
2436573224,C.R. Carpenter,University of Nottingham,europe_randoms,5,186,5,0,0,186,0,0,5,5
2222733369,S. Sarohia,University College London,europe_randoms,2,3,0,0,0,0,0,0,1,1
2605569419,A. Fujii,Imperial College London,europe_randoms,1,11,1,0,0,11,0,0,1,1
2503451855,Johanne Mw Hazes,Erasmus University Rotterdam,europe_randoms,1,60,1,0,0,60,0,0,1,1
2793114404,David Pohl,ETH Zurich,europe_randoms,6,8,3,2,0,8,0,0,1,1
1971444096,Elizabeth Jane Mellor,University of Oxford,europe_randoms,10,25,0,0,0,0,0,0,2,2
2719876968,Sergey Pevtsov,Moscow State University,europe_randoms,1,122,1,0,0,122,0,0,1,1
2922613420,V. Pacheco,University of Geneva,europe_randoms,1,7,1,0,0,7,0,0,1,1
2628260095,M. Wirtz,University of Freiburg,europe_randoms,2,139,1,0,0,139,0,0,1,1
2573377466,J Hofmann,Dresden University of Technology,europe_randoms,1,106,1,0,0,106,0,0,1,1
2689053621,Frédéric Stichelbaut,Université catholique de Louvain,europe_randoms,66,867,34,3,0,644,9,0,12,12
2609321386,Jorma O. Järvisalo,University of Helsinki,europe_randoms,5,38,4,0,0,38,0,0,3,3
2101585110,Mariarosaria De Simone,Technische Universität München,europe_randoms,4,124,4,0,0,124,0,0,4,4
2468785065,Ignace Tack,Katholieke Universiteit Leuven,europe_randoms,12,79,5,0,0,79,0,0,3,3
2347458204,Arti Sikka,Imperial College London,europe_randoms,3,13,2,0,0,13,0,0,2,2
2703433993,D. I. Robinson,University of Manchester,europe_randoms,1,0,0,0,0,0,0,0,0,0
2011980442,Mirjam Kretzschmar,Utrecht University,europe_randoms,247,9710,213,1,3,9524,0,152,55,54
317497870,Lorenzo Fornalè,University of Bologna,europe_randoms,5,438,5,0,0,438,0,0,5,5
2013264132,J.A. García Núñez,Complutense University of Madrid,europe_randoms,5,6,1,0,0,1,0,0,1,1
2163814764,Alejandra Álvarez Suárez,University of Barcelona,europe_randoms,2,0,0,0,0,0,0,0,0,0
2654602728,Samuel Buchsbaum,École normale supérieure de Lyon,europe_randoms,1,5,1,0,0,5,0,0,1,1
2657124257,J.E. Brignell,University of Southampton,europe_randoms,2,31,2,0,0,31,0,0,2,2
2688195755,Or Hommes,Radboud University Nijmegen,europe_randoms,1,4,1,0,0,4,0,0,1,1
1973997585,Tjerk Jan Schuitmaker,VU University Amsterdam,europe_randoms,9,28,7,0,0,27,0,0,3,3
