id,name,affiliation,sampled_type,pubs_count,est_cits,journal_pubs_count,conference_pubs_count,nontech_pubs_count,journal_est_cits,conference_est_cits,nontech_est_cits,org_h_index,tech_h_index
2789349870,J. N. Pompeo,University of Pennsylvania,north_america_randoms,2,17,2,0,0,17,0,0,2,2
2260956797,Deborah Widdowson,"University of California, Berkeley",north_america_randoms,1,29,1,0,0,29,0,0,1,1
2530155444,W. T. Rockihold,Purdue University,north_america_randoms,1,1,1,0,0,1,0,0,1,1
2762124978,Michael C. Slack,George Washington University,north_america_randoms,3,18,3,0,0,18,0,0,2,2
2578126745,Betty C. Irwin,Johns Hopkins University,north_america_randoms,4,60,2,0,0,49,0,0,3,3
2324093474,M. Stȩślicka,University of Waterloo,north_america_randoms,1,29,1,0,0,29,0,0,1,1
2949886587,P. Soffitta,Columbia University,north_america_randoms,191,3974,70,1,1,3606,0,0,21,21
2649207892,X. Chen,University of Michigan,north_america_randoms,3,26,2,0,0,24,0,0,2,2
2565962526,Maria Lopez de Murphy,Pennsylvania State University,north_america_randoms,2,3,1,0,0,3,0,0,1,1
2170878292,S. Karthik,Purdue University,north_america_randoms,2,4,1,0,0,4,0,0,1,1
2556838824,Steve Viger,Michigan State University,north_america_randoms,1,57,1,0,0,57,0,0,1,1
2486992808,Jerry D. Richard,Massachusetts Institute of Technology,north_america_randoms,1,5,0,1,0,0,5,0,1,1
2126850107,A. M. Reece,University of Florida,north_america_randoms,1,21,1,0,0,21,0,0,1,1
2703993061,D.J. Mellor,University of Illinois at Urbana–Champaign,north_america_randoms,6,31,2,0,0,31,0,0,1,1
2479886372,Nancy Sims,University of Michigan,north_america_randoms,1,0,0,0,0,0,0,0,0,0
2690523216,R. P. Hammond,McMaster University,north_america_randoms,2,86,2,0,0,86,0,0,2,2
1980161786,Frances C. Womack,Vanderbilt University,north_america_randoms,9,712,8,0,0,712,0,0,6,6
2752838686,Yu-Ling Chang,"University of California, Berkeley",north_america_randoms,1,0,0,0,0,0,0,0,0,0
2328043759,Youngxin Zhao,University of Illinois at Chicago,north_america_randoms,1,7,1,0,0,7,0,0,1,1
2131281135,J.N. Miller,Duke University,north_america_randoms,3,13,2,0,0,13,0,0,1,1
2893282930,Kazuaki Monde,University of Michigan,north_america_randoms,3,63,3,0,0,63,0,0,2,2
2899181247,M. J. ShoupIII,University of Rochester,north_america_randoms,1,2,1,0,0,2,0,0,1,1
2163382506,Heemin Yoo,University of Arizona,north_america_randoms,1,1,0,0,0,0,0,0,1,1
2656102503,Peter Chiang,University of Michigan,north_america_randoms,1,65,1,0,0,65,0,0,1,1
681388842,Cornelius Y. Taabazuing,University of Massachusetts Amherst,north_america_randoms,11,90,7,0,0,90,0,0,4,4
2896609075,Elaine F. Reed,"University of California, Berkeley",north_america_randoms,1,2,0,0,0,0,0,0,1,1
2652013909,E. Egaña,Harvard University,north_america_randoms,2,22,2,0,0,22,0,0,2,2
2297343472,Catherine Duff,University of Toronto,north_america_randoms,20,2899,19,0,0,2898,0,0,14,14
2274746380,Gordon Molhoj,University of Victoria,north_america_randoms,1,0,0,0,0,0,0,0,0,0
2073528912,Moxun Tang,Michigan State University,north_america_randoms,11,64,10,0,0,64,0,0,5,5
2789491072,Se Hyung Park,University of British Columbia,north_america_randoms,2,196,2,0,0,196,0,0,1,1
2883175861,Zachary Hickey,Queen's University,north_america_randoms,3,0,2,0,0,0,0,0,0,0
2699117039,Elena Malova,University of British Columbia,north_america_randoms,1,1,1,0,0,1,0,0,1,1
2419928487,Natalie Warner,Princeton University,north_america_randoms,1,332,1,0,0,332,0,0,1,1
2588508597,Lucy Davidson,Emory University,north_america_randoms,4,182,3,0,0,153,0,0,3,3
2560536127,Jane L. Traweek,Duke University,north_america_randoms,1,62,1,0,0,62,0,0,1,1
2579852726,Amit Goel,University of Washington,north_america_randoms,4,146,4,0,0,146,0,0,2,2
