id,name,affiliation,sampled_type,pubs_count,est_cits,journal_pubs_count,conference_pubs_count,nontech_pubs_count,journal_est_cits,conference_est_cits,nontech_est_cits,org_h_index,tech_h_index,infield_pubs_count,infield_est_cits,infield_h_index
2793852895,Norman R Williams,University College London,ml_randoms,11,25,1,1,0,25,0,0,1,1,1,0,0
2642858277,Shuhua Lai,Virginia State University,ml_randoms,1,6,0,1,0,0,6,0,1,1,1,6,1
2617985375,Yuqiong Jin,Northwestern Polytechnical University,ml_randoms,1,0,0,1,0,0,0,0,0,0,1,0,0
2161358012,Roy Glasius,Radboud University Nijmegen,ml_randoms,4,393,3,1,0,384,9,0,4,4,2,304,2
2488745722,Ken Miura,University of Toronto,ml_randoms,1,6,0,1,0,0,6,0,1,1,1,6,1
2964390888,LijumolK J,,ml_randoms,1,0,1,0,0,0,0,0,0,0,1,0,0
2420821907,J. H. Kim,,ml_randoms,1,3,0,0,0,0,0,0,1,1,1,3,1
2767800847,Yi Xie,,ml_randoms,1,11,1,0,0,11,0,0,1,1,1,11,1
2664618791,Shuilong He,Guilin University of Electronic Technology,ml_randoms,18,226,13,0,0,226,0,0,5,5,1,82,1
219623542,Yao Zhu-ting,North University of China,ml_randoms,14,2,11,2,0,1,1,0,1,1,1,1,1
2229370628,Timur I. Aleshin,University of Virginia,ml_randoms,1,1,0,1,0,0,1,0,1,1,1,1,1
2538652826,Sean Scott Brummel,,ml_randoms,1,1,0,0,0,0,0,0,1,1,1,1,1
2896142855,Kyle Swanson,Massachusetts Institute of Technology,ml_randoms,6,32,4,0,0,27,0,0,3,3,2,5,1
2694193951,Jian Liu,Shanghai University,ml_randoms,1,2,0,1,0,0,2,0,1,1,1,2,1
2780910891,Mingchui Dong,University of Macau,ml_randoms,5,3,3,0,0,3,0,0,1,1,3,3,1
2563279539,Khaoula Keddachi,,ml_randoms,1,1,0,0,0,0,0,0,1,1,1,1,1
2753675076,Sturtevant John,,ml_randoms,2,0,0,0,0,0,0,0,0,0,1,0,0
2693050794,Yung-Chi Hsu,National Central University,ml_randoms,9,55,7,2,0,55,0,0,4,4,8,43,4
2309514218,Eugene Yujun Fu,Hong Kong Polytechnic University,ml_randoms,7,16,1,7,0,7,9,0,2,2,2,8,1
2547643214,Zhenxing Kang,Northeast Dianli University,ml_randoms,1,0,0,0,0,0,0,0,0,0,1,0,0
2599374169,Mohd Shafry Mohd Rahim,Universiti Teknologi Malaysia,ml_randoms,159,714,80,20,0,553,70,0,14,14,6,18,2
2810612543,Xiaofeng Liu,Hohai University,ml_randoms,4,6,4,0,0,6,0,0,1,1,1,0,0
289089521,Jan Vervisch,Katholieke Universiteit Leuven,ml_randoms,32,211,19,4,0,190,21,0,9,9,3,7,1
2666887789,Dimitra Alexopoulou,,ml_randoms,2,7,1,1,0,5,2,0,2,2,2,7,2
2018048180,Koen De Bosschere,Ghent University,ml_randoms,204,3880,48,96,2,1029,2330,6,28,28,4,47,1
2650184754,Chuan-Sheng Wu,Wuhan University of Technology,ml_randoms,1,9,0,1,0,0,9,0,1,1,1,9,1
2785739199,David J. Mack,University of Zurich,ml_randoms,7,12,3,4,0,3,5,0,3,3,2,5,1
1325033965,Hari Thiruvengada,Honeywell,ml_randoms,36,453,2,6,0,19,31,0,11,11,2,7,2
2753260057,Gabrys Bogdan,,ml_randoms,1,0,1,0,0,0,0,0,0,0,1,0,0
2662118054,Yu Cheng Liu,National Taiwan University,ml_randoms,8,18,6,0,0,16,0,0,3,3,2,6,1
2987164418,R.N. Ermakov,,ml_randoms,1,0,0,0,0,0,0,0,0,0,1,0,0
2667422539,Axel L,,ml_randoms,1,0,1,0,0,0,0,0,0,0,1,0,0
2645721488,구남실,,ml_randoms,1,0,0,0,0,0,0,0,0,0,1,0,0
2632116552,Xi Wu,Central University of Finance and Economics,ml_randoms,1,0,0,0,0,0,0,0,0,0,1,0,0
2979243400,Sophia Marie Ulman,,ml_randoms,1,0,0,0,0,0,0,0,0,0,1,0,0
2902556023,Tobias Weber,,ml_randoms,1,0,1,0,0,0,0,0,0,0,1,0,0
2826619379,Xinxing Li,,ml_randoms,1,0,0,0,0,0,0,0,0,0,1,0,0
2302597923,Faisal I. Rezwan,University of Southampton,ml_randoms,53,882,44,4,0,874,4,0,10,10,4,8,2
2224795545,Kyhyun Urn,,ml_randoms,1,7,0,1,0,0,7,0,1,1,1,7,1
2981525170,Haifeng Chen,Georgia Institute of Technology,ml_randoms,1,0,0,0,0,0,0,0,0,0,1,0,0
2631549419,Fang Liu,University of Science and Technology Beijing,ml_randoms,1,4,0,1,0,0,4,0,1,1,1,4,1
2667568691,Qigang Jiang,Jilin University,ml_randoms,1,1,1,0,0,1,0,0,1,1,1,1,1
2168568973,K. Hamamoto,Tokyo Institute of Technology,ml_randoms,1,5,0,1,0,0,5,0,1,1,1,5,1
2429922186,Chao Yang,University of Iowa,ml_randoms,11,76,2,5,2,22,43,4,5,5,1,6,1
2686858069,Shu Beng Tor,Nanyang Technological University,ml_randoms,3,27,1,1,0,4,15,0,3,3,2,23,2
2107867824,Vojko Jazbinšek,University of Ljubljana,ml_randoms,32,332,16,5,0,282,10,0,10,10,1,0,0
2103964517,James R. Easter,Westinghouse Electric,ml_randoms,13,582,0,0,0,0,0,0,5,5,1,4,1
2154022900,J. LeFevre,École centrale de Lille,ml_randoms,1,1,0,1,0,0,1,0,1,1,1,1,1
2433217940,Musbah Abdulgader,University of Toledo,ml_randoms,10,54,2,8,0,1,53,0,3,3,1,1,1
2990261483,Go Kurihara,Tohoku University,ml_randoms,1,0,0,0,0,0,0,0,0,0,1,0,0
2314401244,T. H. Hoang,Hanoi University of Science and Technology,ml_randoms,18,149,13,0,0,149,0,0,6,6,2,69,2
2979891190,Deqian Fu,Linyi University,ml_randoms,4,0,1,2,0,0,0,0,0,0,1,0,0
2321103968,David P. Darrow,University of Minnesota,ml_randoms,15,58,13,0,0,58,0,0,5,5,1,0,0
2585612084,D. M. Kilgour,,ml_randoms,2,3,0,1,0,0,2,0,1,1,1,2,1
107466247,Pascal Koiran,École normale supérieure de Lyon,ml_randoms,101,2430,57,39,0,1671,659,0,24,24,5,182,5
2705062091,Brandt Dargue,,ml_randoms,1,0,0,1,0,0,0,0,0,0,1,0,0
2373293629,Sui Hai-feng,University of Science and Technology Beijing,ml_randoms,2,0,2,0,0,0,0,0,0,0,2,0,0
2766588183,Yu Zhang,Beijing Institute of Technology,ml_randoms,2,0,0,2,0,0,0,0,0,0,2,0,0
2903580673,Goksu Tuysuzglu,Dokuz Eylül University,ml_randoms,1,0,0,0,0,0,0,0,0,0,1,0,0
2575625111,Dominic Hunt,University of Lyon,ml_randoms,1,8,1,0,0,8,0,0,1,1,1,8,1
1142397388,S.R.K. Branavan,Massachusetts Institute of Technology,ml_randoms,14,956,3,9,0,224,614,0,12,12,10,610,9
2122285746,Vann Chau,University of Toronto,ml_randoms,78,1473,71,4,2,1453,16,0,17,17,2,117,2
2808774089,M Ananthan,,ml_randoms,1,0,1,0,0,0,0,0,0,0,1,0,0
