nid,url,title,logo,core_id,score,rank_display,country,region,stars,guide,rank,name_for_searching_gs,org_id
294654,/universities/university-oxford,University of Oxford,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small_0.jpg"" alt=""University of Oxford Logo"">",478,97.2,4,United Kingdom,Europe,,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>",4,University+of+Oxford,-1
294432,/universities/eth-zurich-swiss-federal-institute-technology,ETH Zurich - Swiss Federal Institute of Technology,"<img src=""https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small_0.jpg"" alt=""ETH Zurich - Swiss Federal Institute of Technology Logo"">",201,95.9,6,Switzerland,Europe,,"<a href=""/where-to-study/europe/switzerland/guide"" class=""guide-link"" target=""_blank"">Switzerland</a>",6,ETH+Zurich+-+Swiss+Federal+Institute+of+Technology,-1
294561,/universities/university-cambridge,University of Cambridge,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small_1.jpg"" alt=""University of Cambridge Logo"">",95,95,7,United Kingdom,Europe,,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>",7,University+of+Cambridge,-1
294014,/universities/ucl,UCL,"<img src=""https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small_0.jpg"" alt=""UCL Logo"">",365,94.8,8,United Kingdom,Europe,,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>",8,UCL,-1
294030,/universities/imperial-college-london,Imperial College London,"<img src=""https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small_0.jpg"" alt=""Imperial College London Logo"">",356,94.1,9,United Kingdom,Europe,,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>",9,Imperial+College+London,-1
294481,/universities/epfl-ecole-polytechnique-federale-de-lausanne,EPFL - Ecole Polytechnique Federale de Lausanne,"<img src=""https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg"" alt=""EPFL - Ecole Polytechnique Federale de Lausanne Logo"">",177,87.4,18,Switzerland,Europe,,"<a href=""/where-to-study/europe/switzerland/guide"" class=""guide-link"" target=""_blank"">Switzerland</a>",18,EPFL+-+Ecole+Polytechnique+Federale+de+Lausanne,-1
294478,/universities/university-edinburgh,The University of Edinburgh,"<img src=""https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small_3.jpg"" alt=""The University of Edinburgh Logo"">",180,86.2,20,United Kingdom,Europe,,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>",20,University+of+Edinburgh,-1
294871,/universities/university-manchester,The University of Manchester,"<img src=""https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small_3.jpg"" alt=""The University of Manchester Logo"">",389,82.7,27,United Kingdom,Europe,,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>",27,University+of+Manchester,-1
294029,/universities/kings-college-london,King's College London,"<img src=""https://www.topuniversities.com/sites/default/files/kings-college-london_357_small_1.jpg"" alt=""King's College London Logo"">",357,80.5,33,United Kingdom,Europe,,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>",33,King's+College+London,-1
294016,/universities/london-school-economics-political-science-lse,The London School of Economics and Political Science (LSE),"<img src=""https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_small_4.jpg"" alt=""The London School of Economics and Political Science (LSE) Logo"">",362,77,44,United Kingdom,Europe,,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>",44,London+School+of+Economics+and+Political+Science,-1
