nid,url,title,logo,core_id,score,rank_display,country,region,stars,guide,rank,name_for_searching_gs,org_id
294802,/universities/university-buffalo-suny,University at Buffalo SUNY,"<img src=""https://www.topuniversities.com/sites/default/files/university-at-buffalo-suny_1888_small_2.jpg"" alt=""University at Buffalo SUNY Logo"">",1888,31.8,340,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",340,University+at+Buffalo+SUNY,-1
294773,/universities/northeastern-university,Northeastern University,"<img src=""https://www.topuniversities.com/sites/default/files/northeastern-university_454_small.jpg"" alt=""Northeastern University Logo"">",454,31.7,344,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",344,Northeastern+University,-1
297216,/universities/university-utah,University of Utah,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-utah_645_small.jpg"" alt=""University of Utah Logo"">",645,30.9,353,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",353,University+of+Utah,-1
297276,/universities/stony-brook-university-state-university-new-york,"Stony Brook University, State University of New York","<img src=""https://www.topuniversities.com/sites/default/files/stony-brook-university-state-university-of-new-york_583_small_0.jpg"" alt=""Stony Brook University, State University of New York Logo"">",583,30.5,359,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",359,"Stony+Brook+University,+State+University+of+New+York",-1
297176,/universities/yeshiva-university,Yeshiva University,"<img src=""https://www.topuniversities.com/sites/default/files/the-katz-school-at-yeshiva-university_685_small.jpg"" alt=""Yeshiva University Logo"">",685,30.5,359,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",359,Yeshiva+University,-1
297210,/universities/university-victoria-uvic,University of Victoria (UVIC),"<img src=""https://www.topuniversities.com/sites/default/files/university-of-victoria_651_small.jpg"" alt=""University of Victoria (UVIC) Logo"">",651,30.4,364,Canada,North America,,"<a href=""/where-to-study/north-america/canada/guide"" class=""guide-link"" target=""_blank"">Canada</a>",364,University+of+Victoria,-1
294564,/universities/university-california-santa-cruz,"University of California, Santa Cruz","<img src=""https://www.topuniversities.com/sites/default/files/university-of-california-santa-cruz_92_small.jpg"" alt=""University of California, Santa Cruz Logo"">",92,30.2,367,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",367,"University+of+California,+Santa+Cruz",-1
294169,/universities/university-kansas,University of Kansas,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-kansas_309_small_0.jpg"" alt=""University of Kansas Logo"">",309,29.4,372,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",372,University+of+Kansas,-1
294517,/universities/university-connecticut,University of Connecticut,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-connecticut_140_small.jpg"" alt=""University of Connecticut Logo"">",140,29,377,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",377,University+of+Connecticut,-1
297444,/universities/rensselaer-polytechnic-institute,Rensselaer Polytechnic Institute,"<img src=""https://www.topuniversities.com/sites/default/files/rensselaer-polytechnic-institute_522_small.jpg"" alt=""Rensselaer Polytechnic Institute Logo"">",522,28.8,383,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",383,Rensselaer+Polytechnic+Institute,-1
295082,/universities/university-colorado-denver,"University of Colorado, Denver","<img src=""https://www.topuniversities.com/sites/default/files/university-of-colorado-denver_2116_small.jpg"" alt=""University of Colorado, Denver  Logo"">",2116,28.5,392,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",392,"University+of+Colorado,+Denver",-1
297200,/universities/wake-forest-university,Wake Forest University,"<img src=""https://www.topuniversities.com/sites/default/files/wake-forest-university_661_small.jpg"" alt=""Wake Forest University Logo"">",661,28.3,398,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",398,Wake+Forest+University,-1
297195,/universities/washington-state-university,Washington State University,"<img src=""https://www.topuniversities.com/sites/default/files/washington-state-university_666_small.jpg"" alt=""Washington State University Logo"">",666,28.2,400,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",400,Washington+State+University,-1
297258,/universities/university-tennessee-knoxville,"The University of Tennessee, Knoxville","<img src=""https://www.topuniversities.com/sites/default/files/the-university-of-tennessee-knoxville_603_small.jpg"" alt=""The University of Tennessee, Knoxville Logo"">",603,28,407,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",407,"University+of+Tennessee,+Knoxville",-1
