nid,url,title,logo,core_id,score,rank_display,country,region,stars,guide,rank,name_for_searching_gs,org_id
294821,/universities/nanyang-technological-university-singapore-ntu,"Nanyang Technological University, Singapore (NTU)","<img src=""https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small_0.jpg"" alt=""Nanyang Technological University, Singapore (NTU) Logo"">",431,91.8,11,Singapore,Asia,6,,11,"Nanyang+Technological+University,+Singapore",-1
294798,/universities/national-university-singapore-nus,National University of Singapore (NUS),"<img src=""https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small_0.jpg"" alt=""National University of Singapore (NUS) Logo"">",443,91.8,11,Singapore,Asia,,,11,National+University+of+Singapore,-1
297235,/universities/tsinghua-university,Tsinghua University,"<img src=""https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small_1.jpg"" alt=""Tsinghua University Logo"">",626,88.6,16,China (Mainland),Asia,,"<a href=""/where-to-study/asia/china/guide"" class=""guide-link"" target=""_blank"">China (Mainland)</a>",16,Tsinghua+University,-1
294606,/universities/peking-university,Peking University,"<img src=""https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg"" alt=""Peking University Logo"">",50,84.3,22,China (Mainland),Asia,,"<a href=""/where-to-study/asia/china/guide"" class=""guide-link"" target=""_blank"">China (Mainland)</a>",22,Peking+University,-1
297246,/universities/university-tokyo,The University of Tokyo,"<img src=""https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_small.jpg"" alt=""The University of Tokyo Logo"">",615,84.3,22,Japan,Asia,,"<a href=""/where-to-study/asia/japan/guide"" class=""guide-link"" target=""_blank"">Japan</a>",22,University+of+Tokyo,-1
294256,/universities/university-hong-kong,The University of Hong Kong,"<img src=""https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small_4.jpg"" alt=""The University of Hong Kong Logo"">",268,83.8,25,Hong Kong SAR,Asia,,"<a href=""/where-to-study/asia/hong-kong/guide"" class=""guide-link"" target=""_blank"">Hong Kong SAR</a>",25,University+of+Hong+Kong,-1
294255,/universities/hong-kong-university-science-technology,The Hong Kong University of Science and Technology,"<img src=""https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_small_1.jpg"" alt=""The Hong Kong University of Science and Technology Logo"">",269,80.6,32,Hong Kong SAR,Asia,,"<a href=""/where-to-study/asia/hong-kong/guide"" class=""guide-link"" target=""_blank"">Hong Kong SAR</a>",32,Hong+Kong+University+of+Science+and+Technology,-1
294111,/universities/kyoto-university,Kyoto University,"<img src=""https://www.topuniversities.com/sites/default/files/kyoto-university_328_small.jpg"" alt=""Kyoto University Logo"">",328,80.5,33,Japan,Asia,,"<a href=""/where-to-study/asia/japan/guide"" class=""guide-link"" target=""_blank"">Japan</a>",33,Kyoto+University,-1
297403,/universities/seoul-national-university,Seoul National University,"<img src=""https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg"" alt=""Seoul National University Logo"">",553,79.6,37,South Korea,Asia,,"<a href=""/where-to-study/asia/south-korea/guide"" class=""guide-link"" target=""_blank"">South Korea</a>",37,Seoul+National+University,-1
294367,/universities/fudan-university,Fudan University,"<img src=""https://www.topuniversities.com/sites/default/files/fudan-university_218_small_0.jpg"" alt=""Fudan University Logo"">",218,78.6,40,China (Mainland),Asia,,"<a href=""/where-to-study/asia/china/guide"" class=""guide-link"" target=""_blank"">China (Mainland)</a>",40,Fudan+University,-1
294124,/universities/kaist-korea-advanced-institute-science-technology,KAIST - Korea Advanced Institute of Science & Technology,"<img src=""https://www.topuniversities.com/sites/default/files/kaist-korea-advanced-institute-of-science-technology_324_small.jpg"" alt=""KAIST - Korea Advanced Institute of Science & Technology Logo"">",324,77.9,41,South Korea,Asia,,"<a href=""/where-to-study/asia/south-korea/guide"" class=""guide-link"" target=""_blank"">South Korea</a>",41,KAIST+-+Korea+Advanced+Institute+of+Science+&+Technology,-1
294277,/universities/chinese-university-hong-kong-cuhk,The Chinese University of Hong Kong (CUHK),"<img src=""https://www.topuniversities.com/sites/default/files/the-chinese-university-of-hong-kong-cuhk_123_small_9.jpg"" alt=""The Chinese University of Hong Kong (CUHK) Logo"">",123,75.9,46,Hong Kong SAR,Asia,,"<a href=""/where-to-study/asia/hong-kong/guide"" class=""guide-link"" target=""_blank"">Hong Kong SAR</a>",46,Chinese+University+of+Hong+Kong,-1
